make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 362ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
INF OAuth providers initialized providers="[google microsoft github]"
INF Starting server addr=localhost:8080 baseURL=http://localhost:8080 version=v0.0.0-20260210190600-11ac12706e26+dirty
INF http m=GET p=/api/v1/health s=200 d=51µs s=160
INF http m=POST p=/api/v1/auth/register s=200 d=76.5ms s=491
INF http m=POST p=/api/v1/auth/register s=200 d=80.5ms s=468
INF http m=GET p=/ s=200 d=51µs s=1227
INF http m=GET p=/ s=200 d=28µs s=1227
INF http m=GET p=/assets/vendor-BFNoaq9W.js s=200 d=208µs s=87451
INF http m=GET p=/assets/index-D5tXwI8s.js s=200 d=134µs s=107548
INF http m=GET p=/assets/index-D5tXwI8s.js s=200 d=506µs s=107548
INF http m=GET p=/assets/index-Hymz4ZC4.css s=200 d=209µs s=44698
INF http m=GET p=/assets/vendor-BFNoaq9W.js s=200 d=96µs s=87451
INF http m=GET p=/assets/editor-vendor-BEwVq1OK.js s=200 d=257µs s=314634
INF http m=GET p=/assets/editor-vendor-BEwVq1OK.js s=200 d=285µs s=314634
INF http m=GET p=/registerSW.js s=200 d=22µs s=134
INF http m=GET p=/assets/index-Hymz4ZC4.css s=200 d=101µs s=44698
INF http m=GET p=/registerSW.js s=200 d=29µs s=134
INF http m=GET p=/api/v1/auth/me s=200 d=312µs s=205
INF http m=GET p=/api/v1/auth/me s=200 d=367µs s=228
INF http m=GET p=/assets/en-C3TpOtlB.js s=200 d=119µs s=14704
INF http m=GET p=/assets/en-C3TpOtlB.js s=200 d=66µs s=14704
INF http m=GET p=/favicon.png s=200 d=41µs s=444
INF http m=GET p=/favicon.png s=200 d=21µs s=444
INF http m=GET p=/assets/Onboarding-WKcPsTBu.js s=200 d=42µs s=2514
INF http m=GET p=/assets/Onboarding-WKcPsTBu.js s=200 d=23µs s=2514
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=167µs s=12
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=65µs s=12
INF http m=POST p=/api/v1/organizations s=200 d=15.3ms s=651
INF http m=GET p=/sw.js s=200 d=126µs s=18490
INF http m=POST p=/api/v1/organizations s=200 d=19.3ms s=651
INF http m=GET p=/sw.js s=200 d=72µs s=18490
INF http m=GET p=/api/v1/auth/me s=200 d=510µs s=469
INF http m=GET p=/api/v1/auth/me s=200 d=118µs s=446
INF http m=GET p=/registerSW.js s=200 d=34µs s=134
INF http m=GET p=/registerSW.js s=200 d=24µs s=134
INF http m=GET p=/index.html s=301 d=18µs
INF http m=GET p=/index.html s=301 d=16µs
INF http m=GET p=/ s=200 d=15µs s=1227
INF http m=GET p=/ s=200 d=13µs s=1227
INF http m=GET p=/icon.svg s=200 d=26µs s=294
INF http m=GET p=/icon.svg s=200 d=18µs s=294
INF http m=GET p=/icon-512.png s=200 d=136µs s=11284
INF http m=GET p=/icon-512.png s=200 d=73µs s=11284
INF http m=GET p=/icon-192.png s=200 d=33µs s=2745
INF http m=GET p=/icon-192.png s=200 d=31µs s=2745
INF http m=GET p=/favicon.png s=200 d=21µs s=444
INF http m=GET p=/favicon.png s=200 d=20µs s=444
INF http m=GET p=/apple-touch-icon.png s=200 d=35µs s=2597
INF http m=GET p=/apple-touch-icon.png s=200 d=27µs s=2597
INF http m=GET p=/assets/fr-Cgyc9BlC.js s=200 d=92µs s=16956
INF http m=GET p=/assets/fr-Cgyc9BlC.js s=200 d=100µs s=16956
INF http m=GET p=/assets/es-BM_5c8P_.js s=200 d=80µs s=16680
INF http m=GET p=/assets/es-BM_5c8P_.js s=200 d=62µs s=16680
INF http m=GET p=/assets/de-OKXjRURK.js s=200 d=101µs s=16708
INF http m=GET p=/assets/de-OKXjRURK.js s=200 d=84µs s=16708
INF http m=GET p=/assets/WorkspaceSettingsPanel-OEEG3RNx.css s=200 d=120µs s=5319
INF http m=GET p=/assets/WorkspaceSettingsPanel-DzThZ5pC.js s=200 d=69µs s=16953
INF http m=GET p=/assets/WorkspaceSettingsPanel-OEEG3RNx.css s=200 d=286µs s=5319
INF http m=GET p=/assets/Terms-DJXNYmiE.js s=200 d=60µs s=2568
INF http m=GET p=/assets/WorkspaceSettingsPanel-DzThZ5pC.js s=200 d=107µs s=16953
INF http m=GET p=/assets/ServerSettingsPanel-DgJ9GjRy.js s=200 d=116µs s=10745
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=69µs s=2417
INF http m=GET p=/assets/Terms-DJXNYmiE.js s=200 d=30µs s=2568
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=68µs s=6652
INF http m=GET p=/assets/ServerSettingsPanel-DgJ9GjRy.js s=200 d=201µs s=10745
INF http m=GET p=/assets/ProfileSettings-C6UtWHaO.js s=200 d=90µs s=14578
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=26µs s=2417
INF http m=POST p=/api/v1/organizations/KGI5SLQS000/workspaces s=200 d=135ms s=359
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=325µs s=6652
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=46µs s=1034
INF http m=GET p=/assets/ProfileSettings-C6UtWHaO.js s=200 d=96µs s=14578
INF http m=GET p=/assets/Privacy-CLREmNRv.js s=200 d=47µs s=2346
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=20µs s=1034
INF http m=GET p=/assets/Privacy-CLREmNRv.js s=200 d=39µs s=2346
INF http m=GET p=/assets/OrgSettingsPanel-f0NnvF1R.js s=200 d=66µs s=8155
INF http m=GET p=/assets/OrgSettingsPanel-f0NnvF1R.js s=200 d=86µs s=8155
INF http m=GET p=/assets/OrgSettingsPanel-DAbswSRk.css s=200 d=21µs s=1913
