make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
22:32:39.447 INF TEST_OAUTH=1: Using fake Google OAuth credentials
22:32:39.448 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
22:32:39.448 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
22:32:39.448 INF OAuth providers initialized providers="[google microsoft github]"
22:32:39.449 INF Starting server addr=:8080
22:32:39.548 INF http m=GET p=/api/health s=200 d=38µs s=160 ip=127.0.0.1
22:32:50.632 INF http m=POST p=/api/auth/register s=200 d=68.4ms s=458 ip=::1
22:32:50.632 INF http m=POST p=/api/auth/register s=200 d=68.6ms s=474 ip=::1
22:32:50.662 INF http m=GET p=/ s=200 d=35µs s=1143 ip=::1
22:32:50.663 INF http m=GET p=/ s=200 d=18µs s=1143 ip=::1
22:32:50.732 INF http m=GET p=/assets/index-Cxnf9xD8.js s=200 d=186µs s=99896 ip=::1
22:32:50.732 INF http m=GET p=/assets/index-Cxnf9xD8.js s=200 d=144µs s=99896 ip=::1
22:32:50.733 INF http m=GET p=/assets/vendor-B6E6Kskn.js s=200 d=172µs s=351830 ip=::1
22:32:50.733 INF http m=GET p=/assets/vendor-B6E6Kskn.js s=200 d=221µs s=351830 ip=::1
22:32:50.744 INF http m=GET p=/registerSW.js s=200 d=16µs s=134 ip=::1
22:32:50.744 INF http m=GET p=/registerSW.js s=200 d=11µs s=134 ip=::1
22:32:50.744 INF http m=GET p=/assets/index-B4lwAXut.css s=200 d=67µs s=44437 ip=::1
22:32:50.744 INF http m=GET p=/assets/index-B4lwAXut.css s=200 d=87µs s=44437 ip=::1
22:32:50.956 INF http m=GET p=/api/auth/providers s=200 d=63µs s=46 ip=::1
22:32:50.956 INF http m=GET p=/api/auth/providers s=200 d=12µs s=46 ip=::1
22:32:51.059 INF http m=GET p=/api/auth/me s=200 d=129µs s=191 ip=::1
22:32:51.059 INF http m=GET p=/api/auth/me s=200 d=129µs s=210 ip=::1
22:32:51.076 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=63µs s=7864 ip=::1
22:32:51.076 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=45µs s=7864 ip=::1
22:32:51.250 INF http m=POST p=/api/organizations s=200 d=498µs s=421 ip=::1
22:32:51.251 INF http m=POST p=/api/organizations s=200 d=139µs s=418 ip=::1
22:32:51.274 INF http m=GET p=/sw.js s=200 d=45µs s=2205 ip=::1
22:32:51.275 INF http m=GET p=/sw.js s=200 d=20µs s=2205 ip=::1
22:32:51.295 INF http m=GET p=/favicon.png s=200 d=47µs s=444 ip=::1
22:32:51.295 INF http m=GET p=/favicon.png s=200 d=11µs s=444 ip=::1
22:32:51.296 INF http m=GET p=/api/auth/me s=200 d=102µs s=434 ip=::1
22:32:51.296 INF http m=GET p=/api/auth/me s=200 d=60µs s=452 ip=::1
22:32:51.333 INF http m=POST p=/api/organizations/E1KCF7Q2000/workspaces s=200 d=17.3ms s=289 ip=::1
22:32:51.333 INF http m=POST p=/api/organizations/E1KCF826000/workspaces s=200 d=17.6ms s=287 ip=::1
22:32:51.353 INF http m=GET p=/api/auth/me s=200 d=125µs s=750 ip=::1
22:32:51.362 INF http m=GET p=/workbox-daba6f28.js s=200 d=80µs s=21874 ip=::1
22:32:51.362 INF http m=GET p=/workbox-daba6f28.js s=200 d=61µs s=21874 ip=::1
22:32:51.388 INF http m=GET p=/api/auth/me s=200 d=126µs s=734 ip=::1
22:32:51.388 INF http m=POST p=/api/auth/switch-workspace s=200 d=278µs s=1028 ip=::1
22:32:51.389 INF http m=GET p=/api/workspaces/E1KCFKLA000/nodes/0/children s=200 d=211µs s=13 ip=::1
22:32:51.391 INF http m=GET p=/api/workspaces/E1KCFKMO000/nodes/0/children s=200 d=83µs s=13 ip=::1
22:32:51.393 INF http m=POST p=/api/auth/switch-workspace s=200 d=231µs s=1015 ip=::1
22:32:51.398 INF http m=GET p=/api/workspaces/E1KCFKMO000/nodes/0/children s=200 d=97µs s=13 ip=::1
22:32:51.398 INF http m=GET p=/w/invalid-workspace-12345/some-page s=200 d=24µs s=1143 ip=::1
22:32:51.413 INF http m=GET p=/w/E1KCFKMO000/nonexistent-page-id-12345 s=200 d=19µs s=1143 ip=::1
22:32:51.418 ERR Handler error err="Failed to create page: failed to commit: signal: killed" statusCode=500 code=INTERNAL_ERROR
22:32:51.418 INF http m=POST p=/api/workspaces/E1KCFKLA000/nodes/0/page/create s=500 d=19.6ms s=104 ip=::1
22:32:51.418 ERR Handler error err="Failed to create page: failed to commit: signal: killed" statusCode=500 code=INTERNAL_ERROR
22:32:51.418 INF http m=POST p=/api/workspaces/E1KCFKMO000/nodes/0/page/create s=500 d=15.4ms s=104 ip=::1
22:32:51.420 INF http m=GET p=/registerSW.js s=200 d=31µs s=134 ip=::1
22:32:51.421 INF http m=GET p=/registerSW.js s=200 d=16µs s=134 ip=::1
22:32:51.442 INF http m=GET p=/api/auth/providers s=200 d=33µs s=46 ip=::1
22:32:51.444 INF http m=GET p=/api/auth/me s=200 d=180µs s=775 ip=::1
22:32:51.448 INF http m=GET p=/api/auth/providers s=200 d=24µs s=46 ip=::1
22:32:51.454 INF http m=GET p=/api/auth/me s=200 d=93µs s=791 ip=::1
22:32:51.471 INF http m=GET p=/index.html s=301 d=13µs ip=::1
22:32:51.471 INF http m=GET p=/index.html s=301 d=7µs ip=::1
22:32:51.472 INF http m=GET p=/ s=200 d=12µs s=1143 ip=::1
22:32:51.472 INF http m=GET p=/ s=200 d=11µs s=1143 ip=::1
22:32:51.488 ERR Handler error err="node not found" statusCode=404 code=NOT_FOUND
22:32:51.488 INF http m=GET p=/api/workspaces/E1KCFKMO000/nodes/nonexistent-page-id-12345 s=404 d=224µs s=58 ip=::1
22:32:51.490 INF http m=GET p=/api/workspaces/E1KCFKMO000/nodes/0/children s=200 d=167µs s=243 ip=::1
22:32:51.491 ERR Handler error err="node not found" statusCode=404 code=NOT_FOUND
22:32:51.491 INF http m=GET p=/api/workspaces/E1KCFKLA000/nodes/some-page s=404 d=137µs s=58 ip=::1
