make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 347ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
INF OAuth providers initialized providers="[google microsoft github]"
INF Starting server addr=localhost:8080 baseURL=http://localhost:8080 version=v0.0.0-20260210023753-15c8afea3f5e+dirty
INF http m=GET p=/api/v1/health s=200 d=63µs s=160
INF http m=POST p=/api/v1/auth/register s=200 d=76.3ms s=468
INF http m=POST p=/api/v1/auth/register s=200 d=80.8ms s=491
INF http m=GET p=/ s=200 d=52µs s=1227
INF http m=GET p=/ s=200 d=17µs s=1227
INF http m=GET p=/assets/index-BL3eS8m-.js s=200 d=213µs s=107548
INF http m=GET p=/assets/vendor-BFNoaq9W.js s=200 d=163µs s=87451
INF http m=GET p=/assets/vendor-BFNoaq9W.js s=200 d=744µs s=87451
INF http m=GET p=/assets/index-BL3eS8m-.js s=200 d=382µs s=107548
INF http m=GET p=/assets/index-Hymz4ZC4.css s=200 d=135µs s=44698
INF http m=GET p=/assets/editor-vendor-BEwVq1OK.js s=200 d=196µs s=314634
INF http m=GET p=/registerSW.js s=200 d=31µs s=134
INF http m=GET p=/assets/editor-vendor-BEwVq1OK.js s=200 d=281µs s=314634
INF http m=GET p=/registerSW.js s=200 d=26µs s=134
INF http m=GET p=/assets/index-Hymz4ZC4.css s=200 d=821µs s=44698
INF http m=GET p=/api/v1/auth/me s=200 d=136µs s=228
INF http m=GET p=/api/v1/auth/me s=200 d=140µs s=205
INF http m=GET p=/assets/en-C3TpOtlB.js s=200 d=196µs s=14704
INF http m=GET p=/assets/en-C3TpOtlB.js s=200 d=115µs s=14704
INF http m=GET p=/favicon.png s=200 d=42µs s=444
INF http m=GET p=/sw.js s=200 d=82µs s=18490
INF http m=GET p=/sw.js s=200 d=171µs s=18490
INF http m=GET p=/assets/Onboarding-D6JonXp8.js s=200 d=30µs s=2514
INF http m=GET p=/assets/Onboarding-D6JonXp8.js s=200 d=26µs s=2514
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=92µs s=12
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=59µs s=12
INF http m=GET p=/favicon.png s=200 d=17µs s=444
INF http m=POST p=/api/v1/organizations s=200 d=11ms s=651
INF http m=POST p=/api/v1/organizations s=200 d=15.2ms s=651
INF http m=GET p=/api/v1/auth/me s=200 d=137µs s=446
INF http m=GET p=/api/v1/auth/me s=200 d=88µs s=469
INF http m=GET p=/registerSW.js s=200 d=33µs s=134
INF http m=GET p=/registerSW.js s=200 d=17µs s=134
INF http m=POST p=/api/v1/organizations/K5H29EE6000/workspaces s=200 d=84.1ms s=359
INF http m=GET p=/index.html s=301 d=21µs
INF http m=GET p=/index.html s=301 d=8µs
INF http m=GET p=/ s=200 d=28µs s=1227
INF http m=GET p=/ s=200 d=28µs s=1227
INF http m=GET p=/icon.svg s=200 d=29µs s=294
INF http m=GET p=/icon.svg s=200 d=20µs s=294
INF http m=GET p=/icon-512.png s=200 d=123µs s=11284
INF http m=GET p=/icon-512.png s=200 d=487µs s=11284
INF http m=GET p=/icon-192.png s=200 d=35µs s=2745
INF http m=GET p=/icon-192.png s=200 d=25µs s=2745
INF http m=GET p=/favicon.png s=200 d=20µs s=444
INF http m=GET p=/favicon.png s=200 d=17µs s=444
INF http m=GET p=/apple-touch-icon.png s=200 d=26µs s=2597
INF http m=GET p=/apple-touch-icon.png s=200 d=23µs s=2597
INF http m=GET p=/assets/fr-Cgyc9BlC.js s=200 d=92µs s=16956
INF http m=GET p=/assets/fr-Cgyc9BlC.js s=200 d=444µs s=16956
INF http m=GET p=/assets/es-BM_5c8P_.js s=200 d=88µs s=16680
INF http m=GET p=/assets/es-BM_5c8P_.js s=200 d=57µs s=16680
INF http m=POST p=/api/v1/organizations/K5H29EEA000/workspaces s=200 d=174ms s=359
INF http m=GET p=/assets/de-OKXjRURK.js s=200 d=124µs s=16708
INF http m=GET p=/assets/de-OKXjRURK.js s=200 d=101µs s=16708
INF http m=POST p=/api/v1/auth/switch-workspace s=200 d=102ms s=1043
INF http m=GET p=/assets/WorkspaceSettingsPanel-OEEG3RNx.css s=200 d=61µs s=5319
INF http m=GET p=/assets/WorkspaceSettingsPanel-OEEG3RNx.css s=200 d=75µs s=5319
INF http m=GET p=/assets/WorkspaceSettingsPanel-DXGNwwSQ.js s=200 d=65µs s=16850
INF http m=GET p=/assets/WorkspaceSettingsPanel-DXGNwwSQ.js s=200 d=518µs s=16850
INF http m=GET p=/assets/Terms-DJXNYmiE.js s=200 d=32µs s=2568
INF http m=GET p=/assets/Terms-DJXNYmiE.js s=200 d=54µs s=2568
INF http m=POST p=/api/v1/auth/switch-workspace s=200 d=30.1ms s=1020
INF http m=GET p=/assets/ServerSettingsPanel-xAYNl9Bs.js s=200 d=93µs s=10745
INF http m=GET p=/assets/ServerSettingsPanel-xAYNl9Bs.js s=200 d=60µs s=10745
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=41µs s=2417
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=26µs s=2417
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=51µs s=6652
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=56µs s=6652
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=83µs s=12
INF http m=GET p=/assets/ProfileSettings-DFdvCX-c.js s=200 d=73µs s=14578
INF http m=GET p=/api/v1/workspaces/K5H29P88000/nodes/0/children s=200 d=349µs s=13
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=39µs s=12
INF http m=GET p=/api/v1/workspaces/K5H29PD4000/nodes/0/children s=200 d=328µs s=13
INF http m=GET p=/assets/ProfileSettings-DFdvCX-c.js s=200 d=110µs s=14578
