make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
13:46:20.195 INF TEST_OAUTH=1: Using fake Google OAuth credentials
13:46:20.195 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
13:46:20.195 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
13:46:20.196 INF OAuth providers initialized providers="[google microsoft github]"
13:46:20.196 INF Starting server addr=:8080
13:46:20.406 INF http m=GET p=/api/health s=200 d=53µs s=34 ip=127.0.0.1
13:46:28.518 INF http m=POST p=/api/auth/register s=200 d=70.8ms s=481 ip=::1
13:46:28.518 INF http m=POST p=/api/auth/register s=200 d=69.8ms s=451 ip=::1
13:46:28.544 INF http m=GET p=/ s=200 d=82µs s=1143 ip=::1
13:46:28.544 INF http m=GET p=/ s=200 d=29µs s=1143 ip=::1
13:46:28.600 INF http m=GET p=/assets/index-CEhqCZAe.js s=200 d=251µs s=91619 ip=::1
13:46:28.600 INF http m=GET p=/assets/vendor-CmUW-6fA.js s=200 d=183µs s=143484 ip=::1
13:46:28.600 INF http m=GET p=/assets/index-CEhqCZAe.js s=200 d=182µs s=91619 ip=::1
13:46:28.600 INF http m=GET p=/assets/vendor-CmUW-6fA.js s=200 d=192µs s=143484 ip=::1
13:46:28.605 INF http m=GET p=/assets/index-Chr1cKkK.css s=200 d=108µs s=40469 ip=::1
13:46:28.606 INF http m=GET p=/assets/index-Chr1cKkK.css s=200 d=86µs s=40469 ip=::1
13:46:28.606 INF http m=GET p=/registerSW.js s=200 d=57µs s=134 ip=::1
13:46:28.608 INF http m=GET p=/registerSW.js s=200 d=18µs s=134 ip=::1
13:46:28.752 INF http m=GET p=/api/auth/providers s=200 d=145µs s=46 ip=::1
13:46:28.753 INF http m=GET p=/api/auth/providers s=200 d=151µs s=46 ip=::1
13:46:28.833 INF http m=GET p=/api/auth/me s=200 d=116µs s=214 ip=::1
13:46:28.833 INF http m=GET p=/api/auth/me s=200 d=115µs s=187 ip=::1
13:46:28.837 INF http m=GET p=/assets/en-ibgF2mwy.js s=200 d=45µs s=7735 ip=::1
13:46:28.837 INF http m=GET p=/assets/en-ibgF2mwy.js s=200 d=86µs s=7735 ip=::1
13:46:28.961 INF http m=POST p=/api/organizations s=200 d=749µs s=421 ip=::1
13:46:28.961 INF http m=POST p=/api/organizations s=200 d=806µs s=417 ip=::1
13:46:29.003 INF http m=GET p=/sw.js s=200 d=49µs s=2205 ip=::1
13:46:29.003 INF http m=GET p=/sw.js s=200 d=46µs s=2205 ip=::1
13:46:29.007 INF http m=GET p=/favicon.png s=200 d=25µs s=444 ip=::1
13:46:29.008 INF http m=GET p=/favicon.png s=200 d=13µs s=444 ip=::1
13:46:29.009 INF http m=POST p=/api/auth/switch-org s=200 d=234µs s=657 ip=::1
13:46:29.009 INF http m=POST p=/api/auth/switch-org s=200 d=114µs s=689 ip=::1
