make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
15:45:28.127 INF TEST_OAUTH=1: Using fake Google OAuth credentials
15:45:28.127 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
15:45:28.127 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
15:45:28.128 INF OAuth providers initialized providers="[google microsoft github]"
15:45:28.128 INF Starting server addr=:8080
15:45:28.374 INF http m=GET p=/api/health s=200 d=63µs s=160 ip=127.0.0.1
15:45:30.765 INF http m=POST p=/api/auth/register s=200 d=67.7ms s=474 ip=::1
15:45:30.767 INF http m=POST p=/api/auth/register s=200 d=67.4ms s=458 ip=::1
15:45:30.776 INF http m=GET p=/ s=200 d=45µs s=1143 ip=::1
15:45:30.778 INF http m=GET p=/ s=200 d=24µs s=1143 ip=::1
15:45:30.791 INF http m=GET p=/assets/index-BMixMliY.js s=200 d=203µs s=91691 ip=::1
15:45:30.791 INF http m=GET p=/assets/vendor-CmUW-6fA.js s=200 d=145µs s=143484 ip=::1
15:45:30.791 INF http m=GET p=/assets/index-BMixMliY.js s=200 d=111µs s=91691 ip=::1
15:45:30.796 INF http m=GET p=/assets/vendor-CmUW-6fA.js s=200 d=554µs s=143484 ip=::1
15:45:30.797 INF http m=GET p=/registerSW.js s=200 d=23µs s=134 ip=::1
15:45:30.797 INF http m=GET p=/registerSW.js s=200 d=781µs s=134 ip=::1
15:45:30.797 INF http m=GET p=/assets/index-Chr1cKkK.css s=200 d=96µs s=40469 ip=::1
15:45:30.799 INF http m=GET p=/assets/index-Chr1cKkK.css s=200 d=130µs s=40469 ip=::1
15:45:30.834 INF http m=GET p=/api/auth/providers s=200 d=67µs s=46 ip=::1
15:45:30.835 INF http m=GET p=/api/auth/providers s=200 d=184µs s=46 ip=::1
15:45:30.842 INF http m=GET p=/api/auth/me s=200 d=114µs s=210 ip=::1
15:45:30.842 INF http m=GET p=/api/auth/me s=200 d=52µs s=191 ip=::1
15:45:30.844 INF http m=GET p=/assets/en-ibgF2mwy.js s=200 d=84µs s=7735 ip=::1
15:45:30.844 INF http m=GET p=/assets/en-ibgF2mwy.js s=200 d=57µs s=7735 ip=::1
15:45:30.876 INF http m=POST p=/api/organizations s=200 d=508µs s=422 ip=::1
15:45:30.880 INF http m=POST p=/api/organizations s=200 d=207µs s=417 ip=::1
15:45:30.891 INF http m=GET p=/favicon.png s=200 d=39µs s=444 ip=::1
15:45:30.894 INF http m=POST p=/api/auth/switch-org s=200 d=163µs s=667 ip=::1
15:45:30.899 INF http m=GET p=/sw.js s=200 d=45µs s=2205 ip=::1
15:45:30.901 INF http m=POST p=/api/auth/switch-org s=200 d=152µs s=680 ip=::1
