make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
12:03:32.341 INF TEST_OAUTH=1: Using fake Google OAuth credentials
12:03:32.341 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
12:03:32.341 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
12:03:32.341 INF OAuth providers initialized providers="[google microsoft github]"
12:03:32.342 INF Starting server addr=:8080
12:03:32.537 INF http m=GET p=/api/health s=200 d=49µs s=160 ip=127.0.0.1
12:03:42.160 INF http m=POST p=/api/auth/register s=200 d=69.4ms s=474 ip=::1
12:03:42.160 INF http m=POST p=/api/auth/register s=200 d=69.6ms s=456 ip=::1
12:03:42.190 INF http m=GET p=/ s=200 d=77µs s=1143 ip=::1
12:03:42.190 INF http m=GET p=/ s=200 d=39µs s=1143 ip=::1
12:03:42.291 INF http m=GET p=/assets/index-BYdUvtTl.js s=200 d=222µs s=120196 ip=::1
12:03:42.291 INF http m=GET p=/assets/index-BYdUvtTl.js s=200 d=138µs s=120196 ip=::1
12:03:42.291 INF http m=GET p=/registerSW.js s=200 d=26µs s=134 ip=::1
12:03:42.291 INF http m=GET p=/assets/index-D2_VlgmN.css s=200 d=101µs s=50004 ip=::1
12:03:42.291 INF http m=GET p=/assets/index-D2_VlgmN.css s=200 d=99µs s=50004 ip=::1
12:03:42.292 INF http m=GET p=/assets/vendor-DpDcc8_c.js s=200 d=255µs s=351904 ip=::1
12:03:42.292 INF http m=GET p=/assets/vendor-DpDcc8_c.js s=200 d=777µs s=351904 ip=::1
12:03:42.297 INF http m=GET p=/registerSW.js s=200 d=31µs s=134 ip=::1
12:03:42.538 INF http m=GET p=/api/auth/providers s=200 d=65µs s=46 ip=::1
12:03:42.538 INF http m=GET p=/api/auth/providers s=200 d=141µs s=46 ip=::1
12:03:42.621 INF http m=GET p=/api/auth/me s=200 d=131µs s=210 ip=::1
12:03:42.621 INF http m=GET p=/api/auth/me s=200 d=62µs s=189 ip=::1
12:03:42.627 INF http m=GET p=/assets/en-lksZFkaq.js s=200 d=55µs s=9311 ip=::1
12:03:42.628 INF http m=GET p=/assets/en-lksZFkaq.js s=200 d=311µs s=9311 ip=::1
12:03:42.788 INF http m=POST p=/api/organizations s=200 d=528µs s=422 ip=::1
12:03:42.788 INF http m=POST p=/api/organizations s=200 d=611µs s=418 ip=::1
12:03:42.806 INF http m=GET p=/sw.js s=200 d=46µs s=2205 ip=::1
12:03:42.807 INF http m=GET p=/sw.js s=200 d=44µs s=2205 ip=::1
12:03:42.830 INF http m=GET p=/favicon.png s=200 d=35µs s=444 ip=::1
12:03:42.830 INF http m=GET p=/favicon.png s=200 d=35µs s=444 ip=::1
12:03:42.832 INF http m=GET p=/api/auth/me s=200 d=677µs s=433 ip=::1
12:03:42.832 INF http m=GET p=/api/auth/me s=200 d=87µs s=452 ip=::1
12:03:42.866 INF http m=POST p=/api/organizations/EAMC0LAS000/workspaces s=200 d=18ms s=287 ip=::1
12:03:42.866 INF http m=POST p=/api/organizations/EAMC0L92000/workspaces s=200 d=18ms s=289 ip=::1
12:03:42.871 INF http m=GET p=/api/auth/me s=200 d=109µs s=733 ip=::1
12:03:42.892 INF http m=GET p=/api/auth/me s=200 d=104µs s=750 ip=::1
12:03:42.897 INF http m=GET p=/api/workspaces/EAMC1164000/nodes/0/children s=200 d=208µs s=13 ip=::1
12:03:42.897 INF http m=POST p=/api/auth/switch-workspace s=200 d=699µs s=1014 ip=::1
12:03:42.898 INF http m=POST p=/api/auth/switch-workspace s=200 d=220µs s=1028 ip=::1
12:03:42.898 INF http m=GET p=/api/workspaces/EAMC118O000/nodes/0/children s=200 d=207µs s=13 ip=::1
12:03:42.907 INF http m=GET p=/w/invalid-workspace-12345/some-page s=200 d=34µs s=1143 ip=::1
12:03:42.908 INF http m=GET p=/workbox-daba6f28.js s=200 d=169µs s=21874 ip=::1
