make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 352ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
INF OAuth providers initialized providers="[google microsoft github]"
INF Starting server addr=localhost:8080 baseURL=http://localhost:8080 version=v0.0.0-20260210191725-4f4a3e7ead5f+dirty
INF http m=GET p=/api/v1/health s=200 d=68µs s=160
INF http m=POST p=/api/v1/auth/register s=200 d=76.4ms s=491
INF http m=POST p=/api/v1/auth/register s=200 d=79ms s=468
INF http m=GET p=/ s=200 d=55µs s=1227
INF http m=GET p=/ s=200 d=55µs s=1227
INF http m=GET p=/assets/index-D5tXwI8s.js s=200 d=211µs s=107548
INF http m=GET p=/assets/vendor-BFNoaq9W.js s=200 d=152µs s=87451
INF http m=GET p=/assets/vendor-BFNoaq9W.js s=200 d=163µs s=87451
INF http m=GET p=/assets/index-D5tXwI8s.js s=200 d=142µs s=107548
INF http m=GET p=/assets/index-Hymz4ZC4.css s=200 d=115µs s=44698
INF http m=GET p=/assets/editor-vendor-BEwVq1OK.js s=200 d=299µs s=314634
INF http m=GET p=/assets/index-Hymz4ZC4.css s=200 d=78µs s=44698
INF http m=GET p=/assets/editor-vendor-BEwVq1OK.js s=200 d=247µs s=314634
INF http m=GET p=/registerSW.js s=200 d=21µs s=134
INF http m=GET p=/registerSW.js s=200 d=15µs s=134
INF http m=GET p=/api/v1/auth/me s=200 d=134µs s=205
INF http m=GET p=/api/v1/auth/me s=200 d=171µs s=228
INF http m=GET p=/assets/en-C3TpOtlB.js s=200 d=78µs s=14704
INF http m=GET p=/assets/en-C3TpOtlB.js s=200 d=62µs s=14704
INF http m=GET p=/assets/Onboarding-WKcPsTBu.js s=200 d=61µs s=2514
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=96µs s=12
INF http m=GET p=/assets/Onboarding-WKcPsTBu.js s=200 d=28µs s=2514
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=87µs s=12
INF http m=GET p=/favicon.png s=200 d=20µs s=444
INF http m=GET p=/favicon.png s=200 d=37µs s=444
INF http m=GET p=/sw.js s=200 d=80µs s=18490
INF http m=GET p=/sw.js s=200 d=109µs s=18490
INF http m=POST p=/api/v1/organizations s=200 d=11.8ms s=651
INF http m=POST p=/api/v1/organizations s=200 d=15.8ms s=651
INF http m=GET p=/api/v1/auth/me s=200 d=120µs s=446
INF http m=GET p=/api/v1/auth/me s=200 d=58µs s=469
INF http m=GET p=/registerSW.js s=200 d=18µs s=134
INF http m=GET p=/registerSW.js s=200 d=72µs s=134
INF http m=GET p=/index.html s=301 d=18µs
INF http m=GET p=/index.html s=301 d=8µs
INF http m=GET p=/ s=200 d=12µs s=1227
INF http m=GET p=/ s=200 d=27µs s=1227
INF http m=GET p=/icon.svg s=200 d=24µs s=294
INF http m=GET p=/icon.svg s=200 d=18µs s=294
INF http m=GET p=/icon-512.png s=200 d=180µs s=11284
INF http m=GET p=/icon-512.png s=200 d=55µs s=11284
INF http m=GET p=/icon-192.png s=200 d=20µs s=2745
INF http m=GET p=/icon-192.png s=200 d=35µs s=2745
INF http m=GET p=/favicon.png s=200 d=18µs s=444
INF http m=GET p=/favicon.png s=200 d=18µs s=444
INF http m=GET p=/apple-touch-icon.png s=200 d=20µs s=2597
INF http m=GET p=/apple-touch-icon.png s=200 d=24µs s=2597
INF http m=GET p=/assets/fr-Cgyc9BlC.js s=200 d=125µs s=16956
INF http m=GET p=/assets/fr-Cgyc9BlC.js s=200 d=2.52ms s=16956
INF http m=GET p=/assets/es-BM_5c8P_.js s=200 d=83µs s=16680
INF http m=GET p=/assets/es-BM_5c8P_.js s=200 d=53µs s=16680
INF http m=GET p=/assets/de-OKXjRURK.js s=200 d=131µs s=16708
INF http m=POST p=/api/v1/organizations/KGM8LBH6000/workspaces s=200 d=110ms s=359
INF http m=GET p=/assets/de-OKXjRURK.js s=200 d=70µs s=16708
INF http m=GET p=/assets/WorkspaceSettingsPanel-OEEG3RNx.css s=200 d=97µs s=5319
INF http m=GET p=/assets/WorkspaceSettingsPanel-OEEG3RNx.css s=200 d=341µs s=5319
INF http m=GET p=/assets/WorkspaceSettingsPanel-DzThZ5pC.js s=200 d=87µs s=16953
INF http m=GET p=/assets/WorkspaceSettingsPanel-DzThZ5pC.js s=200 d=182µs s=16953
INF http m=GET p=/assets/Terms-DJXNYmiE.js s=200 d=28µs s=2568
INF http m=GET p=/assets/Terms-DJXNYmiE.js s=200 d=28µs s=2568
INF http m=GET p=/assets/ServerSettingsPanel-DgJ9GjRy.js s=200 d=65µs s=10745
INF http m=GET p=/assets/ServerSettingsPanel-DgJ9GjRy.js s=200 d=182µs s=10745
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=29µs s=2417
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=61µs s=2417
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=303µs s=6652
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=69µs s=6652
INF http m=GET p=/assets/ProfileSettings-C6UtWHaO.js s=200 d=62µs s=14578
INF http m=GET p=/assets/ProfileSettings-C6UtWHaO.js s=200 d=79µs s=14578
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=18µs s=1034
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=17µs s=1034
INF http m=GET p=/assets/Privacy-CLREmNRv.js s=200 d=26µs s=2346
INF http m=GET p=/assets/Privacy-CLREmNRv.js s=200 d=24µs s=2346
INF http m=GET p=/assets/OrgSettingsPanel-f0NnvF1R.js s=200 d=67µs s=8155
INF http m=GET p=/assets/OrgSettingsPanel-f0NnvF1R.js s=200 d=57µs s=8155
INF http m=GET p=/assets/OrgSettingsPanel-DAbswSRk.css s=200 d=29µs s=1913
