make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
12:20:35.599 INF TEST_OAUTH=1: Using fake Google OAuth credentials
12:20:35.599 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
12:20:35.599 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
12:20:35.599 INF OAuth providers initialized providers="[google microsoft github]"
12:20:35.600 INF Starting server addr=:8080
12:20:35.781 INF http m=GET p=/api/health s=200 d=103µs s=160 ip=127.0.0.1
12:20:47.143 INF http m=POST p=/api/auth/register s=200 d=65.2ms s=451 ip=::1
12:20:47.144 INF http m=POST p=/api/auth/register s=200 d=65.7ms s=481 ip=::1
12:20:47.165 INF http m=GET p=/ s=200 d=49µs s=1143 ip=::1
12:20:47.165 INF http m=GET p=/ s=200 d=49µs s=1143 ip=::1
12:20:47.227 INF http m=GET p=/assets/index-DrUc7Qb5.js s=200 d=232µs s=103648 ip=::1
12:20:47.227 INF http m=GET p=/assets/index-DrUc7Qb5.js s=200 d=129µs s=103648 ip=::1
12:20:47.227 INF http m=GET p=/assets/vendor-XI6dBZnE.js s=200 d=114µs s=28228 ip=::1
12:20:47.228 INF http m=GET p=/assets/vendor-XI6dBZnE.js s=200 d=100µs s=28228 ip=::1
12:20:47.248 INF http m=GET p=/registerSW.js s=200 d=36µs s=134 ip=::1
12:20:47.248 INF http m=GET p=/registerSW.js s=200 d=17µs s=134 ip=::1
12:20:47.248 INF http m=GET p=/assets/index-DtDhmFFE.css s=200 d=82µs s=43351 ip=::1
12:20:47.248 INF http m=GET p=/assets/index-DtDhmFFE.css s=200 d=68µs s=43351 ip=::1
12:20:47.411 INF http m=GET p=/api/auth/providers s=200 d=57µs s=46 ip=::1
12:20:47.411 INF http m=GET p=/api/auth/providers s=200 d=26µs s=46 ip=::1
12:20:47.475 INF http m=GET p=/api/auth/me s=200 d=99µs s=214 ip=::1
12:20:47.475 INF http m=GET p=/api/auth/me s=200 d=191µs s=187 ip=::1
12:20:47.503 INF http m=GET p=/assets/en-D3yZox2Q.js s=200 d=100µs s=9365 ip=::1
12:20:47.503 INF http m=GET p=/assets/en-D3yZox2Q.js s=200 d=54µs s=9365 ip=::1
12:20:47.774 INF http m=POST p=/api/organizations s=200 d=603µs s=422 ip=::1
12:20:47.774 INF http m=POST p=/api/organizations s=200 d=511µs s=418 ip=::1
12:20:47.818 INF http m=GET p=/favicon.png s=200 d=36µs s=444 ip=::1
12:20:47.818 INF http m=GET p=/sw.js s=200 d=22µs s=2452 ip=::1
12:20:47.818 INF http m=GET p=/sw.js s=200 d=15µs s=2452 ip=::1
12:20:47.834 INF http m=GET p=/favicon.png s=200 d=39µs s=444 ip=::1
12:20:47.835 INF http m=GET p=/api/auth/me s=200 d=99µs s=429 ip=::1
12:20:47.842 INF http m=GET p=/api/auth/me s=200 d=142µs s=458 ip=::1
12:20:47.869 INF http m=POST p=/api/organizations/EASFGLSC000/workspaces s=200 d=18ms s=289 ip=::1
12:20:47.871 INF http m=GET p=/workbox-daba6f28.js s=200 d=109µs s=21874 ip=::1
12:20:47.872 INF http m=GET p=/workbox-daba6f28.js s=200 d=57µs s=21874 ip=::1
12:20:47.877 INF http m=POST p=/api/organizations/EASFGLUI000/workspaces s=200 d=18.4ms s=287 ip=::1
12:20:47.880 INF http m=GET p=/api/auth/me s=200 d=110µs s=758 ip=::1
12:20:47.884 INF http m=GET p=/api/auth/me s=200 d=114µs s=727 ip=::1
