make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
19:54:32.007 INF TEST_OAUTH=1: Using fake Google OAuth credentials
19:54:32.007 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
19:54:32.007 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
19:54:32.008 INF OAuth providers initialized providers="[google microsoft github]"
19:54:32.008 INF Starting server addr=:8080
19:54:32.076 INF http m=GET p=/api/health s=200 d=87µs s=160 ip=127.0.0.1
19:54:41.246 INF http m=POST p=/api/auth/register s=200 d=71.5ms s=481 ip=::1
19:54:41.246 INF http m=POST p=/api/auth/register s=200 d=71.7ms s=451 ip=::1
19:54:41.265 INF http m=GET p=/ s=200 d=46µs s=1143 ip=::1
19:54:41.265 INF http m=GET p=/ s=200 d=237µs s=1143 ip=::1
19:54:41.336 INF http m=GET p=/assets/index-CTOGByv0.js s=200 d=167µs s=96175 ip=::1
19:54:41.336 INF http m=GET p=/assets/index-CTOGByv0.js s=200 d=175µs s=96175 ip=::1
19:54:41.337 INF http m=GET p=/assets/vendor-CJxKTJ52.js s=200 d=224µs s=351262 ip=::1
19:54:41.337 INF http m=GET p=/assets/vendor-CJxKTJ52.js s=200 d=195µs s=351262 ip=::1
19:54:41.341 INF http m=GET p=/assets/index-C_BMmX25.css s=200 d=92µs s=43417 ip=::1
19:54:41.342 INF http m=GET p=/registerSW.js s=200 d=26µs s=134 ip=::1
19:54:41.342 INF http m=GET p=/registerSW.js s=200 d=10µs s=134 ip=::1
19:54:41.342 INF http m=GET p=/assets/index-C_BMmX25.css s=200 d=59µs s=43417 ip=::1
19:54:41.523 INF http m=GET p=/api/auth/providers s=200 d=87µs s=46 ip=::1
19:54:41.524 INF http m=GET p=/api/auth/providers s=200 d=61µs s=46 ip=::1
19:54:41.590 INF http m=GET p=/api/auth/me s=200 d=99µs s=214 ip=::1
19:54:41.590 INF http m=GET p=/api/auth/me s=200 d=69µs s=187 ip=::1
19:54:41.595 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=61µs s=7864 ip=::1
19:54:41.595 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=95µs s=7864 ip=::1
19:54:41.787 INF http m=POST p=/api/organizations s=200 d=502µs s=422 ip=::1
19:54:41.787 INF http m=POST p=/api/organizations s=200 d=199µs s=418 ip=::1
19:54:41.830 INF http m=GET p=/sw.js s=200 d=35µs s=2205 ip=::1
19:54:41.830 INF http m=GET p=/sw.js s=200 d=32µs s=2205 ip=::1
19:54:41.843 INF http m=GET p=/favicon.png s=200 d=21µs s=444 ip=::1
19:54:41.843 INF http m=GET p=/favicon.png s=200 d=12µs s=444 ip=::1
19:54:41.857 INF http m=GET p=/api/auth/me s=200 d=104µs s=450 ip=::1
19:54:41.858 INF http m=GET p=/api/auth/me s=200 d=133µs s=421 ip=::1
19:54:41.881 INF http m=GET p=/workbox-daba6f28.js s=200 d=98µs s=21874 ip=::1
19:54:41.881 INF http m=GET p=/workbox-daba6f28.js s=200 d=122µs s=21874 ip=::1
19:54:41.886 INF http m=POST p=/api/organizations/DVRQG50I000/workspaces s=200 d=22.1ms s=289 ip=::1
19:54:41.886 INF http m=POST p=/api/organizations/DVRQG53G000/workspaces s=200 d=22.7ms s=287 ip=::1
19:54:41.893 INF http m=GET p=/api/auth/me s=200 d=174µs s=713 ip=::1
19:54:41.894 INF http m=GET p=/api/auth/me s=200 d=65µs s=744 ip=::1
19:54:41.899 INF http m=POST p=/api/auth/switch-workspace s=200 d=287µs s=1025 ip=::1
19:54:41.900 INF http m=GET p=/api/workspaces/DVRQGJV8000/nodes/0/children s=200 d=175µs s=13 ip=::1
19:54:41.901 INF http m=GET p=/api/workspaces/DVRQGK3I000/nodes/0/children s=200 d=152µs s=13 ip=::1
19:54:41.902 INF http m=POST p=/api/auth/switch-workspace s=200 d=213µs s=991 ip=::1
19:54:41.909 INF http m=GET p=/w/invalid-workspace-12345/some-page s=200 d=22µs s=1143 ip=::1
19:54:41.909 INF http m=GET p=/api/workspaces/DVRQGJV8000/nodes/0/children s=200 d=100µs s=13 ip=::1
19:54:41.924 ERR Handler error err="Failed to create page: failed to stage files: context canceled\nOutput: " statusCode=500 code=INTERNAL_ERROR
19:54:41.925 INF http m=POST p=/api/workspaces/DVRQGJV8000/nodes/0/page/create s=500 d=8.82ms s=121 ip=::1
19:54:41.926 INF http m=GET p=/registerSW.js s=200 d=24µs s=134 ip=::1
19:54:41.927 INF http m=GET p=/registerSW.js s=200 d=16µs s=134 ip=::1
19:54:41.930 INF http m=GET p=/w/DVRQGK3I000/nonexistent-page-id-12345 s=200 d=33µs s=1143 ip=::1
19:54:41.936 ERR Handler error err="Failed to create page: failed to commit: signal: killed" statusCode=500 code=INTERNAL_ERROR
19:54:41.936 INF http m=POST p=/api/workspaces/DVRQGK3I000/nodes/0/page/create s=500 d=24.7ms s=104 ip=::1
19:54:41.952 INF http m=GET p=/api/auth/providers s=200 d=36µs s=46 ip=::1
19:54:41.952 INF http m=GET p=/api/auth/me s=200 d=304µs s=754 ip=::1
19:54:41.965 INF http m=GET p=/api/auth/providers s=200 d=37µs s=46 ip=::1
19:54:41.968 INF http m=GET p=/api/auth/me s=200 d=108µs s=785 ip=::1
19:54:41.978 INF http m=GET p=/index.html s=301 d=16µs ip=::1
19:54:41.980 INF http m=GET p=/index.html s=301 d=10µs ip=::1
19:54:41.980 INF http m=GET p=/ s=200 d=18µs s=1143 ip=::1
19:54:41.981 INF http m=GET p=/ s=200 d=11µs s=1143 ip=::1
19:54:41.992 INF http m=GET p=/api/workspaces/DVRQGJV8000/nodes/0/children s=200 d=221µs s=243 ip=::1
