make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
13:29:01.554 INF TEST_OAUTH=1: Using fake Google OAuth credentials
13:29:01.554 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
13:29:01.554 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
13:29:01.555 INF OAuth providers initialized providers="[google microsoft github]"
13:29:01.555 INF Starting server addr=:8080
13:29:01.853 INF http m=GET p=/api/health s=200 d=68µs s=160 ip=127.0.0.1
13:29:11.038 INF http m=POST p=/api/auth/register s=200 d=70.2ms s=474 ip=::1
13:29:11.039 INF http m=POST p=/api/auth/register s=200 d=70.6ms s=458 ip=::1
13:29:11.063 INF http m=GET p=/ s=200 d=66µs s=1143 ip=::1
13:29:11.063 INF http m=GET p=/ s=200 d=84µs s=1143 ip=::1
13:29:11.142 INF http m=GET p=/assets/index-DrUc7Qb5.js s=200 d=222µs s=103648 ip=::1
13:29:11.142 INF http m=GET p=/assets/vendor-XI6dBZnE.js s=200 d=96µs s=28228 ip=::1
13:29:11.142 INF http m=GET p=/assets/vendor-XI6dBZnE.js s=200 d=85µs s=28228 ip=::1
13:29:11.143 INF http m=GET p=/assets/index-DrUc7Qb5.js s=200 d=488µs s=103648 ip=::1
13:29:11.146 INF http m=GET p=/assets/index-DtDhmFFE.css s=200 d=112µs s=43351 ip=::1
13:29:11.146 INF http m=GET p=/assets/index-DtDhmFFE.css s=200 d=69µs s=43351 ip=::1
13:29:11.147 INF http m=GET p=/registerSW.js s=200 d=133µs s=134 ip=::1
13:29:11.148 INF http m=GET p=/registerSW.js s=200 d=27µs s=134 ip=::1
13:29:11.286 INF http m=GET p=/api/auth/providers s=200 d=87µs s=46 ip=::1
13:29:11.286 INF http m=GET p=/api/auth/providers s=200 d=164µs s=46 ip=::1
13:29:11.371 INF http m=GET p=/api/auth/me s=200 d=107µs s=191 ip=::1
13:29:11.372 INF http m=GET p=/api/auth/me s=200 d=175µs s=210 ip=::1
13:29:11.383 INF http m=GET p=/assets/en-D3yZox2Q.js s=200 d=145µs s=9365 ip=::1
13:29:11.383 INF http m=GET p=/assets/en-D3yZox2Q.js s=200 d=100µs s=9365 ip=::1
13:29:11.549 INF http m=GET p=/favicon.png s=200 d=86µs s=444 ip=::1
13:29:11.549 INF http m=GET p=/favicon.png s=200 d=15µs s=444 ip=::1
13:29:11.576 INF http m=GET p=/sw.js s=200 d=50µs s=2452 ip=::1
13:29:11.579 INF http m=POST p=/api/organizations s=200 d=414µs s=418 ip=::1
13:29:11.579 INF http m=POST p=/api/organizations s=200 d=179µs s=422 ip=::1
13:29:11.583 INF http m=GET p=/sw.js s=200 d=31µs s=2452 ip=::1
13:29:11.640 INF http m=GET p=/api/auth/me s=200 d=119µs s=435 ip=::1
13:29:11.641 INF http m=GET p=/api/auth/me s=200 d=51µs s=452 ip=::1
13:29:11.642 INF http m=GET p=/workbox-daba6f28.js s=200 d=67µs s=21874 ip=::1
13:29:11.643 INF http m=GET p=/workbox-daba6f28.js s=200 d=472µs s=21874 ip=::1
13:29:11.669 INF http m=POST p=/api/organizations/EBKU8AAK000/workspaces s=200 d=21.3ms s=289 ip=::1
13:29:11.669 INF http m=POST p=/api/organizations/EBKU8A7M000/workspaces s=200 d=22.8ms s=287 ip=::1
13:29:11.673 INF http m=GET p=/api/auth/me s=200 d=146µs s=735 ip=::1
13:29:11.673 INF http m=GET p=/api/auth/me s=200 d=68µs s=750 ip=::1
13:29:11.678 INF http m=GET p=/api/workspaces/EBKU8NQ8000/nodes/0/children s=200 d=218µs s=13 ip=::1
13:29:11.679 INF http m=POST p=/api/auth/switch-workspace s=200 d=852µs s=1016 ip=::1
13:29:11.680 INF http m=GET p=/api/workspaces/EBKU8NIA000/nodes/0/children s=200 d=91µs s=13 ip=::1
13:29:11.681 INF http m=POST p=/api/auth/switch-workspace s=200 d=217µs s=1028 ip=::1
13:29:11.683 INF http m=GET p=/api/workspaces/EBKU8NQ8000/nodes/0/children s=200 d=168µs s=13 ip=::1
13:29:11.683 INF http m=GET p=/w/invalid-workspace-12345/some-page s=200 d=30µs s=1143 ip=::1
13:29:11.693 INF http m=GET p=/w/EBKU8NQ8000/nonexistent-page-id-12345 s=200 d=26µs s=1143 ip=::1
