make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 340ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
INF OAuth providers initialized providers="[google microsoft github]"
INF Starting server addr=localhost:8080 baseURL=http://localhost:8080 version=v0.0.0-20260217132612-7ec06486517d+dirty
INF http m=GET p=/api/v1/health s=200 d=66µs s=160
INF http m=POST p=/api/v1/auth/register s=200 d=79.7ms s=491
INF http m=POST p=/api/v1/auth/register s=200 d=83ms s=468
INF http m=GET p=/ s=200 d=51µs s=1227
INF http m=GET p=/ s=200 d=778µs s=1227
INF http m=GET p=/assets/vendor-CigQKR3C.js s=200 d=205µs s=88738
INF http m=GET p=/assets/index-BR9al7ul.js s=200 d=138µs s=109309
INF http m=GET p=/assets/index-BR9al7ul.js s=200 d=132µs s=109309
INF http m=GET p=/assets/index-CNZkaJPX.css s=200 d=157µs s=45319
INF http m=GET p=/assets/editor-vendor-Bgw51sU7.js s=200 d=417µs s=314625
INF http m=GET p=/assets/vendor-CigQKR3C.js s=200 d=149µs s=88738
INF http m=GET p=/registerSW.js s=200 d=23µs s=134
INF http m=GET p=/assets/editor-vendor-Bgw51sU7.js s=200 d=241µs s=314625
INF http m=GET p=/assets/index-CNZkaJPX.css s=200 d=129µs s=45319
INF http m=GET p=/registerSW.js s=200 d=33µs s=134
INF http m=GET p=/api/v1/auth/me s=200 d=162µs s=228
INF http m=GET p=/api/v1/auth/me s=200 d=67µs s=205
INF http m=GET p=/assets/en-Blot_nxH.js s=200 d=240µs s=14814
INF http m=GET p=/assets/en-Blot_nxH.js s=200 d=65µs s=14814
INF http m=GET p=/assets/Onboarding-Bl0kIYH_.js s=200 d=52µs s=2514
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=124µs s=12
INF http m=GET p=/assets/Onboarding-Bl0kIYH_.js s=200 d=33µs s=2514
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=46µs s=12
INF http m=GET p=/favicon.png s=200 d=39µs s=444
INF http m=GET p=/favicon.png s=200 d=23µs s=444
INF http m=POST p=/api/v1/organizations s=200 d=22.5ms s=651
INF http m=GET p=/api/v1/auth/me s=200 d=101µs s=469
INF http m=POST p=/api/v1/organizations s=200 d=24.6ms s=651
INF http m=GET p=/sw.js s=200 d=101µs s=18490
INF http m=GET p=/api/v1/auth/me s=200 d=114µs s=446
INF http m=GET p=/sw.js s=200 d=66µs s=18490
INF http m=GET p=/registerSW.js s=200 d=36µs s=134
INF http m=GET p=/registerSW.js s=200 d=19µs s=134
INF http m=GET p=/index.html s=301 d=15µs
INF http m=GET p=/index.html s=301 d=44µs
INF http m=GET p=/ s=200 d=13µs s=1227
INF http m=GET p=/ s=200 d=13µs s=1227
INF http m=GET p=/icon.svg s=200 d=25µs s=294
INF http m=GET p=/icon.svg s=200 d=19µs s=294
INF http m=GET p=/icon-512.png s=200 d=59µs s=11284
INF http m=GET p=/icon-512.png s=200 d=65µs s=11284
INF http m=GET p=/icon-192.png s=200 d=28µs s=2745
INF http m=GET p=/icon-192.png s=200 d=37µs s=2745
INF http m=GET p=/favicon.png s=200 d=17µs s=444
INF http m=GET p=/favicon.png s=200 d=21µs s=444
INF http m=GET p=/apple-touch-icon.png s=200 d=28µs s=2597
INF http m=GET p=/apple-touch-icon.png s=200 d=26µs s=2597
INF http m=POST p=/api/v1/organizations/NTDFLA0C000/workspaces s=200 d=128ms s=359
INF http m=GET p=/assets/fr-BfejN3Ln.js s=200 d=123µs s=17086
INF http m=GET p=/assets/fr-BfejN3Ln.js s=200 d=98µs s=17086
INF http m=GET p=/assets/es-DZOg7fU7.js s=200 d=82µs s=16800
INF http m=GET p=/assets/es-DZOg7fU7.js s=200 d=87µs s=16800
INF http m=GET p=/assets/de-DGGDGFEk.js s=200 d=66µs s=16846
INF http m=GET p=/assets/de-DGGDGFEk.js s=200 d=62µs s=16846
INF http m=GET p=/assets/WorkspaceSettingsPanel-OEEG3RNx.css s=200 d=63µs s=5319
INF http m=GET p=/assets/WorkspaceSettingsPanel-OEEG3RNx.css s=200 d=89µs s=5319
INF http m=GET p=/assets/WorkspaceSettingsPanel-ChLDKQIU.js s=200 d=508µs s=16953
INF http m=GET p=/assets/WorkspaceSettingsPanel-ChLDKQIU.js s=200 d=63µs s=16953
INF http m=GET p=/assets/Terms-BbjppC_v.js s=200 d=28µs s=2568
INF http m=GET p=/assets/Terms-BbjppC_v.js s=200 d=26µs s=2568
INF http m=GET p=/assets/ServerSettingsPanel-Df2Dod7X.js s=200 d=98µs s=10745
INF http m=GET p=/assets/ServerSettingsPanel-Df2Dod7X.js s=200 d=66µs s=10745
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=27µs s=2417
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=52µs s=6652
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=32µs s=2417
INF http m=GET p=/assets/ProfileSettings-D2IF_WIa.js s=200 d=64µs s=14578
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=49µs s=6652
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=343µs s=1034
INF http m=GET p=/assets/ProfileSettings-D2IF_WIa.js s=200 d=81µs s=14578
INF http m=GET p=/assets/Privacy-BPJuzKcl.js s=200 d=26µs s=2346
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=31µs s=1034
INF http m=GET p=/assets/OrgSettingsPanel-DfriMazg.js s=200 d=142µs s=8155
INF http m=GET p=/assets/Privacy-BPJuzKcl.js s=200 d=27µs s=2346
INF http m=GET p=/assets/OrgSettingsPanel-DAbswSRk.css s=200 d=38µs s=1913
INF http m=GET p=/assets/OrgSettingsPanel-DfriMazg.js s=200 d=59µs s=8155
