make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
22:33:48.324 INF TEST_OAUTH=1: Using fake Google OAuth credentials
22:33:48.325 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
22:33:48.325 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
22:33:48.325 INF OAuth providers initialized providers="[google microsoft github]"
22:33:48.326 INF Starting server addr=:8080
22:33:48.335 INF http m=GET p=/api/health s=200 d=47µs s=160 ip=127.0.0.1
22:33:58.572 INF http m=POST p=/api/auth/register s=200 d=68.1ms s=474 ip=::1
22:33:58.572 INF http m=POST p=/api/auth/register s=200 d=68.1ms s=458 ip=::1
22:33:58.605 INF http m=GET p=/ s=200 d=43µs s=1143 ip=::1
22:33:58.605 INF http m=GET p=/ s=200 d=27µs s=1143 ip=::1
22:33:58.697 INF http m=GET p=/assets/index-BjV-ramJ.js s=200 d=199µs s=99807 ip=::1
22:33:58.697 INF http m=GET p=/assets/index-BjV-ramJ.js s=200 d=167µs s=99807 ip=::1
22:33:58.697 INF http m=GET p=/assets/vendor-B6E6Kskn.js s=200 d=204µs s=351830 ip=::1
22:33:58.697 INF http m=GET p=/assets/vendor-B6E6Kskn.js s=200 d=205µs s=351830 ip=::1
22:33:58.702 INF http m=GET p=/assets/index-EQkIwo8x.css s=200 d=73µs s=44510 ip=::1
22:33:58.702 INF http m=GET p=/registerSW.js s=200 d=15µs s=134 ip=::1
22:33:58.702 INF http m=GET p=/assets/index-EQkIwo8x.css s=200 d=81µs s=44510 ip=::1
22:33:58.704 INF http m=GET p=/registerSW.js s=200 d=16µs s=134 ip=::1
22:33:58.902 INF http m=GET p=/api/auth/providers s=200 d=73µs s=46 ip=::1
22:33:58.902 INF http m=GET p=/api/auth/providers s=200 d=138µs s=46 ip=::1
22:33:58.989 INF http m=GET p=/api/auth/me s=200 d=102µs s=191 ip=::1
22:33:58.989 INF http m=GET p=/api/auth/me s=200 d=153µs s=210 ip=::1
22:33:58.995 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=92µs s=7864 ip=::1
22:33:58.995 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=46µs s=7864 ip=::1
22:33:59.150 INF http m=POST p=/api/organizations s=200 d=497µs s=418 ip=::1
22:33:59.150 INF http m=POST p=/api/organizations s=200 d=662µs s=421 ip=::1
22:33:59.151 INF http m=GET p=/favicon.png s=200 d=46µs s=444 ip=::1
22:33:59.156 INF http m=GET p=/sw.js s=200 d=23µs s=2205 ip=::1
22:33:59.179 INF http m=GET p=/sw.js s=200 d=46µs s=2205 ip=::1
