make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 420ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
INF OAuth providers initialized providers="[google microsoft github]"
INF Starting server addr=localhost:8080 baseURL=http://localhost:8080 version=v0.0.0-20260210193009-8c4172fcddec+dirty
INF http m=GET p=/api/v1/health s=200 d=60µs s=160
INF http m=POST p=/api/v1/auth/register s=200 d=78.2ms s=491
INF http m=POST p=/api/v1/auth/register s=200 d=81ms s=468
INF http m=GET p=/ s=200 d=57µs s=1227
INF http m=GET p=/ s=200 d=21µs s=1227
INF http m=GET p=/assets/index-D5tXwI8s.js s=200 d=233µs s=107548
INF http m=GET p=/assets/index-D5tXwI8s.js s=200 d=130µs s=107548
INF http m=GET p=/assets/vendor-BFNoaq9W.js s=200 d=129µs s=87451
INF http m=GET p=/assets/vendor-BFNoaq9W.js s=200 d=132µs s=87451
INF http m=GET p=/registerSW.js s=200 d=34µs s=134
INF http m=GET p=/assets/index-Hymz4ZC4.css s=200 d=118µs s=44698
INF http m=GET p=/assets/index-Hymz4ZC4.css s=200 d=94µs s=44698
INF http m=GET p=/assets/editor-vendor-BEwVq1OK.js s=200 d=200µs s=314634
INF http m=GET p=/assets/editor-vendor-BEwVq1OK.js s=200 d=188µs s=314634
INF http m=GET p=/registerSW.js s=200 d=57µs s=134
INF http m=GET p=/api/v1/auth/me s=200 d=121µs s=228
INF http m=GET p=/api/v1/auth/me s=200 d=186µs s=205
INF http m=GET p=/assets/en-C3TpOtlB.js s=200 d=95µs s=14704
INF http m=GET p=/assets/en-C3TpOtlB.js s=200 d=129µs s=14704
INF http m=GET p=/favicon.png s=200 d=43µs s=444
INF http m=GET p=/assets/Onboarding-WKcPsTBu.js s=200 d=33µs s=2514
INF http m=GET p=/assets/Onboarding-WKcPsTBu.js s=200 d=37µs s=2514
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=124µs s=12
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=63µs s=12
INF http m=GET p=/favicon.png s=200 d=21µs s=444
INF http m=GET p=/sw.js s=200 d=103µs s=18490
INF http m=GET p=/sw.js s=200 d=103µs s=18490
INF http m=POST p=/api/v1/organizations s=200 d=19.5ms s=651
INF http m=POST p=/api/v1/organizations s=200 d=24.3ms s=651
INF http m=GET p=/api/v1/auth/me s=200 d=109µs s=469
INF http m=GET p=/api/v1/auth/me s=200 d=137µs s=446
INF http m=GET p=/registerSW.js s=200 d=38µs s=134
INF http m=GET p=/registerSW.js s=200 d=17µs s=134
INF http m=GET p=/index.html s=301 d=16µs
INF http m=GET p=/index.html s=301 d=12µs
INF http m=GET p=/ s=200 d=16µs s=1227
INF http m=GET p=/ s=200 d=11µs s=1227
INF http m=GET p=/icon.svg s=200 d=22µs s=294
INF http m=GET p=/icon.svg s=200 d=18µs s=294
INF http m=GET p=/icon-512.png s=200 d=256µs s=11284
INF http m=GET p=/icon-512.png s=200 d=60µs s=11284
INF http m=GET p=/icon-192.png s=200 d=33µs s=2745
INF http m=GET p=/icon-192.png s=200 d=30µs s=2745
INF http m=GET p=/favicon.png s=200 d=99µs s=444
INF http m=GET p=/favicon.png s=200 d=18µs s=444
INF http m=GET p=/apple-touch-icon.png s=200 d=65µs s=2597
INF http m=GET p=/apple-touch-icon.png s=200 d=147µs s=2597
INF http m=GET p=/assets/fr-Cgyc9BlC.js s=200 d=169µs s=16956
INF http m=GET p=/assets/fr-Cgyc9BlC.js s=200 d=94µs s=16956
INF http m=GET p=/assets/es-BM_5c8P_.js s=200 d=54µs s=16680
INF http m=GET p=/assets/es-BM_5c8P_.js s=200 d=249µs s=16680
INF http m=POST p=/api/v1/organizations/KGQPD518000/workspaces s=200 d=112ms s=359
INF http m=GET p=/assets/de-OKXjRURK.js s=200 d=168µs s=16708
INF http m=GET p=/assets/WorkspaceSettingsPanel-OEEG3RNx.css s=200 d=76µs s=5319
INF http m=GET p=/assets/de-OKXjRURK.js s=200 d=47µs s=16708
INF http m=GET p=/assets/WorkspaceSettingsPanel-DzThZ5pC.js s=200 d=125µs s=16953
INF http m=GET p=/assets/WorkspaceSettingsPanel-OEEG3RNx.css s=200 d=76µs s=5319
INF http m=GET p=/assets/WorkspaceSettingsPanel-DzThZ5pC.js s=200 d=93µs s=16953
INF http m=GET p=/assets/Terms-DJXNYmiE.js s=200 d=65µs s=2568
INF http m=GET p=/assets/Terms-DJXNYmiE.js s=200 d=30µs s=2568
INF http m=GET p=/assets/ServerSettingsPanel-DgJ9GjRy.js s=200 d=87µs s=10745
INF http m=GET p=/assets/ServerSettingsPanel-DgJ9GjRy.js s=200 d=65µs s=10745
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=29µs s=2417
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=27µs s=2417
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=55µs s=6652
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=540µs s=6652
INF http m=GET p=/assets/ProfileSettings-C6UtWHaO.js s=200 d=65µs s=14578
INF http m=GET p=/assets/ProfileSettings-C6UtWHaO.js s=200 d=185µs s=14578
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=20µs s=1034
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=16µs s=1034
INF http m=GET p=/assets/Privacy-CLREmNRv.js s=200 d=413µs s=2346
INF http m=GET p=/assets/Privacy-CLREmNRv.js s=200 d=33µs s=2346
INF http m=GET p=/assets/OrgSettingsPanel-f0NnvF1R.js s=200 d=63µs s=8155
INF http m=GET p=/assets/OrgSettingsPanel-f0NnvF1R.js s=200 d=66µs s=8155
INF http m=GET p=/assets/OrgSettingsPanel-DAbswSRk.css s=200 d=20µs s=1913
