make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
16:29:43.850 INF TEST_OAUTH=1: Using fake Google OAuth credentials
16:29:43.850 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
16:29:43.850 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
16:29:43.851 INF OAuth providers initialized providers="[google microsoft github]"
16:29:43.851 INF Starting server addr=:8080
16:29:44.056 INF http m=GET p=/api/health s=200 d=83µs s=160 ip=127.0.0.1
16:29:52.573 INF http m=POST p=/api/auth/register s=200 d=68.4ms s=474 ip=::1
16:29:52.573 INF http m=POST p=/api/auth/register s=200 d=67.5ms s=458 ip=::1
16:29:52.596 INF http m=GET p=/ s=200 d=52µs s=1143 ip=::1
16:29:52.596 INF http m=GET p=/ s=200 d=25µs s=1143 ip=::1
16:29:52.642 INF http m=GET p=/assets/index-BMixMliY.js s=200 d=197µs s=91691 ip=::1
16:29:52.642 INF http m=GET p=/assets/index-BMixMliY.js s=200 d=137µs s=91691 ip=::1
16:29:52.645 INF http m=GET p=/assets/vendor-CmUW-6fA.js s=200 d=161µs s=143484 ip=::1
16:29:52.645 INF http m=GET p=/assets/vendor-CmUW-6fA.js s=200 d=221µs s=143484 ip=::1
16:29:52.646 INF http m=GET p=/assets/index-Chr1cKkK.css s=200 d=83µs s=40469 ip=::1
16:29:52.648 INF http m=GET p=/registerSW.js s=200 d=23µs s=134 ip=::1
16:29:52.648 INF http m=GET p=/assets/index-Chr1cKkK.css s=200 d=292µs s=40469 ip=::1
16:29:52.650 INF http m=GET p=/registerSW.js s=200 d=136µs s=134 ip=::1
16:29:52.797 INF http m=GET p=/api/auth/providers s=200 d=69µs s=46 ip=::1
16:29:52.797 INF http m=GET p=/api/auth/providers s=200 d=13µs s=46 ip=::1
16:29:52.857 INF http m=GET p=/api/auth/me s=200 d=86µs s=210 ip=::1
16:29:52.857 INF http m=GET p=/api/auth/me s=200 d=114µs s=191 ip=::1
16:29:52.861 INF http m=GET p=/assets/en-ibgF2mwy.js s=200 d=79µs s=7735 ip=::1
16:29:52.861 INF http m=GET p=/assets/en-ibgF2mwy.js s=200 d=106µs s=7735 ip=::1
16:29:52.996 INF http m=POST p=/api/organizations s=200 d=504µs s=422 ip=::1
16:29:52.997 INF http m=POST p=/api/organizations s=200 d=147µs s=418 ip=::1
16:29:53.040 INF http m=GET p=/sw.js s=200 d=55µs s=2205 ip=::1
16:29:53.042 INF http m=GET p=/sw.js s=200 d=45µs s=2205 ip=::1
16:29:53.052 INF http m=GET p=/favicon.png s=200 d=21µs s=444 ip=::1
16:29:53.052 INF http m=GET p=/favicon.png s=200 d=26µs s=444 ip=::1
16:29:53.053 INF http m=POST p=/api/auth/switch-org s=200 d=178µs s=667 ip=::1
16:29:53.054 INF http m=POST p=/api/auth/switch-org s=200 d=75µs s=681 ip=::1
16:29:53.085 INF http m=POST p=/api/organizations/DTIIJANA000/workspaces s=200 d=22.3ms s=287 ip=::1
16:29:53.092 INF http m=GET p=/workbox-daba6f28.js s=200 d=264µs s=21874 ip=::1
16:29:53.092 INF http m=GET p=/workbox-daba6f28.js s=200 d=1.4ms s=21874 ip=::1
16:29:53.101 INF http m=GET p=/api/auth/me s=200 d=124µs s=736 ip=::1
16:29:53.108 INF http m=GET p=/api/workspaces/DTIIJNOC000/nodes/0/children s=200 d=230µs s=13 ip=::1
16:29:53.108 INF http m=POST p=/api/auth/switch-workspace s=200 d=309µs s=1014 ip=::1
16:29:53.110 INF http m=POST p=/api/organizations/DTIIJAFE000/workspaces s=200 d=29.7ms s=288 ip=::1
16:29:53.111 INF http m=GET p=/w/invalid-workspace-12345/some-page s=200 d=22µs s=1143 ip=::1
16:29:53.115 INF http m=GET p=/api/auth/me s=200 d=111µs s=720 ip=::1
16:29:53.118 INF http m=GET p=/api/workspaces/DTIIJR1G000/nodes/0/children s=200 d=110µs s=13 ip=::1
16:29:53.120 INF http m=GET p=/api/workspaces/DTIIJNOC000/nodes/0/children s=200 d=230µs s=13 ip=::1
16:29:53.121 INF http m=POST p=/api/auth/switch-workspace s=200 d=262µs s=1001 ip=::1
16:29:53.123 INF http m=GET p=/api/workspaces/DTIIJR1G000/nodes/0/children s=200 d=75µs s=13 ip=::1
16:29:53.138 INF http m=GET p=/registerSW.js s=200 d=32µs s=134 ip=::1
16:29:53.139 INF http m=GET p=/registerSW.js s=200 d=17µs s=134 ip=::1
16:29:53.145 INF http m=POST p=/api/workspaces/DTIIJR1G000/nodes/0/page/create s=200 d=19.9ms s=21 ip=::1
16:29:53.150 INF http m=GET p=/api/workspaces/DTIIJR1G000/nodes/0/children s=200 d=206µs s=243 ip=::1
16:29:53.154 INF http m=GET p=/api/auth/providers s=200 d=21µs s=46 ip=::1
16:29:53.155 INF http m=GET p=/api/auth/me s=200 d=84µs s=777 ip=::1
