make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
21:56:59.746 INF TEST_OAUTH=1: Using fake Google OAuth credentials
21:56:59.746 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
21:56:59.746 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
21:56:59.746 INF OAuth providers initialized providers="[google microsoft github]"
21:56:59.747 INF Starting server addr=:8080
21:56:59.776 INF http m=GET p=/api/health s=200 d=50µs s=160 ip=127.0.0.1
21:57:09.745 INF http m=POST p=/api/auth/register s=200 d=69.2ms s=481 ip=::1
21:57:09.747 INF http m=POST p=/api/auth/register s=200 d=69.3ms s=451 ip=::1
21:57:09.769 INF http m=GET p=/ s=200 d=59µs s=1143 ip=::1
21:57:09.769 INF http m=GET p=/ s=200 d=24µs s=1143 ip=::1
21:57:09.834 INF http m=GET p=/assets/index-D1WUEvcu.js s=200 d=492µs s=99514 ip=::1
21:57:09.835 INF http m=GET p=/assets/index-D1WUEvcu.js s=200 d=126µs s=99514 ip=::1
21:57:09.835 INF http m=GET p=/assets/vendor-OftYBWXX.js s=200 d=235µs s=351830 ip=::1
21:57:09.835 INF http m=GET p=/assets/vendor-OftYBWXX.js s=200 d=203µs s=351830 ip=::1
21:57:09.840 INF http m=GET p=/registerSW.js s=200 d=18µs s=134 ip=::1
21:57:09.840 INF http m=GET p=/registerSW.js s=200 d=10µs s=134 ip=::1
21:57:09.840 INF http m=GET p=/assets/index-B4lwAXut.css s=200 d=67µs s=44437 ip=::1
21:57:09.840 INF http m=GET p=/assets/index-B4lwAXut.css s=200 d=100µs s=44437 ip=::1
21:57:10.026 INF http m=GET p=/api/auth/providers s=200 d=64µs s=46 ip=::1
21:57:10.026 INF http m=GET p=/api/auth/providers s=200 d=13µs s=46 ip=::1
21:57:10.138 INF http m=GET p=/api/auth/me s=200 d=55µs s=187 ip=::1
21:57:10.138 INF http m=GET p=/api/auth/me s=200 d=184µs s=214 ip=::1
21:57:10.145 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=59µs s=7864 ip=::1
21:57:10.145 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=293µs s=7864 ip=::1
21:57:10.304 INF http m=POST p=/api/organizations s=200 d=637µs s=418 ip=::1
21:57:10.305 INF http m=POST p=/api/organizations s=200 d=824µs s=422 ip=::1
21:57:10.319 INF http m=GET p=/sw.js s=200 d=32µs s=2205 ip=::1
21:57:10.349 INF http m=GET p=/sw.js s=200 d=43µs s=2205 ip=::1
21:57:10.356 INF http m=GET p=/api/auth/me s=200 d=103µs s=421 ip=::1
21:57:10.356 INF http m=GET p=/favicon.png s=200 d=20µs s=444 ip=::1
21:57:10.358 INF http m=GET p=/favicon.png s=200 d=37µs s=444 ip=::1
21:57:10.358 INF http m=GET p=/api/auth/me s=200 d=76µs s=450 ip=::1
21:57:10.394 INF http m=POST p=/api/organizations/E17K3UAM000/workspaces s=200 d=17.7ms s=287 ip=::1
21:57:10.396 INF http m=GET p=/api/auth/me s=200 d=96µs s=713 ip=::1
21:57:10.401 INF http m=GET p=/api/workspaces/E17K4CF4000/nodes/0/children s=200 d=528µs s=13 ip=::1
21:57:10.403 INF http m=POST p=/api/auth/switch-workspace s=200 d=2.58ms s=991 ip=::1
21:57:10.408 INF http m=GET p=/workbox-daba6f28.js s=200 d=526µs s=21874 ip=::1
21:57:10.412 INF http m=GET p=/w/invalid-workspace-12345/some-page s=200 d=26µs s=1143 ip=::1
21:57:10.415 INF http m=GET p=/workbox-daba6f28.js s=200 d=107µs s=21874 ip=::1
21:57:10.416 INF http m=GET p=/api/workspaces/E17K4CF4000/nodes/0/children s=200 d=131µs s=13 ip=::1
21:57:10.421 INF http m=POST p=/api/organizations/E17K3UD2000/workspaces s=200 d=23.6ms s=289 ip=::1
21:57:10.424 INF http m=GET p=/api/auth/me s=200 d=92µs s=744 ip=::1
21:57:10.427 ERR Handler error err="Failed to create page: failed to commit: signal: killed" statusCode=500 code=INTERNAL_ERROR
21:57:10.427 INF http m=POST p=/api/workspaces/E17K4CF4000/nodes/0/page/create s=500 d=9.17ms s=104 ip=::1
21:57:10.428 INF http m=GET p=/api/workspaces/E17K4GHM000/nodes/0/children s=200 d=94µs s=13 ip=::1
21:57:10.430 INF http m=POST p=/api/auth/switch-workspace s=200 d=244µs s=1025 ip=::1
21:57:10.435 INF http m=GET p=/api/workspaces/E17K4GHM000/nodes/0/children s=200 d=134µs s=13 ip=::1
21:57:10.459 INF http m=POST p=/api/workspaces/E17K4GHM000/nodes/0/page/create s=200 d=21.9ms s=21 ip=::1
21:57:10.460 INF http m=GET p=/api/auth/providers s=200 d=26µs s=46 ip=::1
21:57:10.463 INF http m=GET p=/api/workspaces/E17K4GHM000/nodes/0/children s=200 d=215µs s=243 ip=::1
21:57:10.465 INF http m=GET p=/api/auth/me s=200 d=80µs s=754 ip=::1
21:57:10.467 INF http m=GET p=/registerSW.js s=200 d=23µs s=134 ip=::1
21:57:10.468 INF http m=GET p=/registerSW.js s=200 d=17µs s=134 ip=::1
21:57:10.474 INF http m=GET p=/api/workspaces/E17K4GHM000/nodes/E17K4OGM000 s=200 d=156µs s=231 ip=::1
21:57:10.512 INF http m=GET p=/index.html s=301 d=18µs ip=::1
21:57:10.513 INF http m=GET p=/ s=200 d=18µs s=1143 ip=::1
21:57:10.514 INF http m=GET p=/index.html s=301 d=8µs ip=::1
21:57:10.515 INF http m=GET p=/ s=200 d=11µs s=1143 ip=::1
21:57:10.517 ERR Handler error err="node not found" statusCode=404 code=NOT_FOUND
21:57:10.517 INF http m=GET p=/api/workspaces/E17K4CF4000/nodes/some-page s=404 d=264µs s=58 ip=::1
21:57:10.519 INF http m=GET p=/api/workspaces/E17K4CF4000/nodes/0/children s=200 d=199µs s=243 ip=::1
21:57:10.543 INF http m=GET p=/icon.svg s=200 d=34µs s=294 ip=::1
21:57:10.543 INF http m=GET p=/icon.svg s=200 d=17µs s=294 ip=::1
21:57:10.549 INF http m=GET p=/icon-512.png s=200 d=110µs s=11284 ip=::1
21:57:10.550 INF http m=GET p=/icon-512.png s=200 d=57µs s=11284 ip=::1
21:57:10.556 INF http m=GET p=/icon-192.png s=200 d=39µs s=2745 ip=::1
21:57:10.557 INF http m=GET p=/icon-192.png s=200 d=24µs s=2745 ip=::1
21:57:10.564 INF http m=GET p=/w/E17K4GHM000/nonexistent-page-id-12345 s=200 d=26µs s=1143 ip=::1
21:57:10.567 INF http m=GET p=/favicon.png s=200 d=32µs s=444 ip=::1
21:57:10.570 INF http m=GET p=/favicon.png s=200 d=21µs s=444 ip=::1
21:57:10.572 INF http m=GET p=/apple-touch-icon.png s=200 d=39µs s=2597 ip=::1
21:57:10.575 INF http m=GET p=/apple-touch-icon.png s=200 d=56µs s=2597 ip=::1
21:57:10.590 INF http m=GET p=/api/auth/providers s=200 d=34µs s=46 ip=::1
21:57:10.592 INF http m=GET p=/api/auth/me s=200 d=172µs s=785 ip=::1
21:57:10.627 ERR Handler error err="node not found" statusCode=404 code=NOT_FOUND
21:57:10.627 INF http m=GET p=/api/workspaces/E17K4GHM000/nodes/nonexistent-page-id-12345 s=404 d=224µs s=58 ip=::1
21:57:10.629 INF http m=GET p=/api/workspaces/E17K4GHM000/nodes/0/children s=200 d=274µs s=243 ip=::1
21:57:10.648 INF http m=GET p=/assets/fr-cCZR70fs.js s=200 d=89µs s=9139 ip=::1
21:57:10.653 INF http m=GET p=/assets/es-BfB7HQt5.js s=200 d=296µs s=8825 ip=::1
21:57:10.678 INF http m=GET p=/assets/de-BM2kPbGL.js s=200 d=86µs s=8995 ip=::1
21:57:10.688 INF http m=GET p=/manifest.webmanifest s=200 d=61µs s=455 ip=::1
21:57:10.830 INF http m=GET p=/privacy s=200 d=110µs s=1143 ip=::1
21:57:10.846 INF http m=GET p=/assets/index-D1WUEvcu.js s=200 d=152µs s=99514 ip=::1
21:57:10.848 INF http m=GET p=/assets/index-B4lwAXut.css s=200 d=244µs s=44437 ip=::1
21:57:10.849 INF http m=GET p=/assets/vendor-OftYBWXX.js s=200 d=261µs s=351830 ip=::1
21:57:10.850 INF http m=GET p=/registerSW.js s=200 d=46µs s=134 ip=::1
21:57:10.868 INF http m=GET p=/terms s=200 d=129µs s=1143 ip=::1
21:57:10.876 INF http m=GET p=/assets/index-D1WUEvcu.js s=200 d=148µs s=99514 ip=::1
21:57:10.877 INF http m=GET p=/assets/index-B4lwAXut.css s=200 d=127µs s=44437 ip=::1
21:57:10.877 INF http m=GET p=/assets/vendor-OftYBWXX.js s=200 d=177µs s=351830 ip=::1
21:57:10.877 INF http m=GET p=/registerSW.js s=200 d=21µs s=134 ip=::1
21:57:10.903 INF http m=GET p=/api/auth/providers s=200 d=36µs s=46 ip=::1
21:57:10.907 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=196µs s=7864 ip=::1
21:57:10.919 INF http m=GET p=/sw.js s=200 d=44µs s=2205 ip=::1
21:57:10.924 INF http m=GET p=/api/auth/providers s=200 d=34µs s=46 ip=::1
21:57:10.928 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=78µs s=7864 ip=::1
21:57:10.933 INF http m=GET p=/workbox-daba6f28.js s=200 d=110µs s=21874 ip=::1
21:57:10.947 INF http m=GET p=/favicon.png s=200 d=32µs s=444 ip=::1
21:57:10.952 INF http m=GET p=/sw.js s=200 d=39µs s=2205 ip=::1
21:57:10.953 INF http m=GET p=/registerSW.js s=200 d=16µs s=134 ip=::1
21:57:10.967 INF http m=GET p=/favicon.png s=200 d=36µs s=444 ip=::1
21:57:10.970 INF http m=GET p=/index.html s=301 d=10µs ip=::1
21:57:10.971 INF http m=GET p=/ s=200 d=17µs s=1143 ip=::1
21:57:10.972 INF http m=GET p=/workbox-daba6f28.js s=200 d=66µs s=21874 ip=::1
21:57:10.978 INF http m=GET p=/icon.svg s=200 d=45µs s=294 ip=::1
21:57:10.984 INF http m=GET p=/registerSW.js s=200 d=26µs s=134 ip=::1
21:57:10.988 INF http m=GET p=/icon-512.png s=200 d=63µs s=11284 ip=::1
21:57:11.176 INF http m=POST p=/api/auth/register s=200 d=68.4ms s=461 ip=::1
21:57:11.180 INF http m=GET p=/ s=200 d=29µs s=1143 ip=::1
21:57:11.186 INF http m=GET p=/assets/index-D1WUEvcu.js s=200 d=131µs s=99514 ip=::1
21:57:11.186 INF http m=GET p=/registerSW.js s=200 d=25µs s=134 ip=::1
21:57:11.186 INF http m=GET p=/assets/index-B4lwAXut.css s=200 d=94µs s=44437 ip=::1
21:57:11.186 INF http m=GET p=/assets/vendor-OftYBWXX.js s=200 d=171µs s=351830 ip=::1
21:57:11.192 INF http m=POST p=/api/auth/register s=200 d=75.3ms s=468 ip=::1
21:57:11.199 INF http m=GET p=/ s=200 d=75µs s=1143 ip=::1
21:57:11.207 INF http m=GET p=/assets/index-B4lwAXut.css s=200 d=131µs s=44437 ip=::1
21:57:11.207 INF http m=GET p=/assets/index-D1WUEvcu.js s=200 d=142µs s=99514 ip=::1
21:57:11.207 INF http m=GET p=/registerSW.js s=200 d=19µs s=134 ip=::1
21:57:11.207 INF http m=GET p=/assets/vendor-OftYBWXX.js s=200 d=167µs s=351830 ip=::1
21:57:11.235 INF http m=GET p=/api/auth/providers s=200 d=60µs s=46 ip=::1
21:57:11.238 INF http m=GET p=/api/auth/me s=200 d=88µs s=193 ip=::1
21:57:11.241 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=170µs s=7864 ip=::1
21:57:11.252 INF http m=GET p=/api/auth/providers s=200 d=32µs s=46 ip=::1
21:57:11.255 INF http m=GET p=/api/auth/me s=200 d=100µs s=197 ip=::1
21:57:11.256 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=61µs s=7864 ip=::1
21:57:11.262 INF http m=GET p=/sw.js s=200 d=37µs s=2205 ip=::1
21:57:11.263 INF http m=POST p=/api/organizations s=200 d=176µs s=424 ip=::1
21:57:11.279 INF http m=GET p=/favicon.png s=200 d=31µs s=444 ip=::1
21:57:11.279 INF http m=POST p=/api/organizations s=200 d=209µs s=428 ip=::1
