make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
15:18:17.790 INF TEST_OAUTH=1: Using fake Google OAuth credentials
15:18:17.790 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
15:18:17.790 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
15:18:17.791 INF OAuth providers initialized providers="[google microsoft github]"
15:18:17.791 INF Starting server addr=:8080
15:18:17.894 INF http m=GET p=/api/health s=200 d=52µs s=34 ip=127.0.0.1
15:18:27.619 INF http m=POST p=/api/auth/register s=200 d=68ms s=481 ip=::1
15:18:27.619 INF http m=POST p=/api/auth/register s=200 d=68.3ms s=451 ip=::1
15:18:27.641 INF http m=GET p=/ s=200 d=84µs s=1143 ip=::1
15:18:27.641 INF http m=GET p=/ s=200 d=41µs s=1143 ip=::1
15:18:27.707 INF http m=GET p=/assets/index-BMixMliY.js s=200 d=187µs s=91691 ip=::1
15:18:27.707 INF http m=GET p=/assets/index-BMixMliY.js s=200 d=138µs s=91691 ip=::1
15:18:27.707 INF http m=GET p=/assets/vendor-CmUW-6fA.js s=200 d=158µs s=143484 ip=::1
15:18:27.710 INF http m=GET p=/assets/vendor-CmUW-6fA.js s=200 d=139µs s=143484 ip=::1
15:18:27.714 INF http m=GET p=/registerSW.js s=200 d=17µs s=134 ip=::1
15:18:27.714 INF http m=GET p=/assets/index-Chr1cKkK.css s=200 d=69µs s=40469 ip=::1
15:18:27.717 INF http m=GET p=/assets/index-Chr1cKkK.css s=200 d=109µs s=40469 ip=::1
15:18:27.717 INF http m=GET p=/registerSW.js s=200 d=71µs s=134 ip=::1
15:18:27.856 INF http m=GET p=/api/auth/providers s=200 d=65µs s=46 ip=::1
15:18:27.856 INF http m=GET p=/api/auth/providers s=200 d=192µs s=46 ip=::1
15:18:27.918 INF http m=GET p=/api/auth/me s=200 d=111µs s=187 ip=::1
15:18:27.918 INF http m=GET p=/api/auth/me s=200 d=111µs s=214 ip=::1
15:18:27.923 INF http m=GET p=/assets/en-ibgF2mwy.js s=200 d=57µs s=7735 ip=::1
15:18:27.923 INF http m=GET p=/assets/en-ibgF2mwy.js s=200 d=94µs s=7735 ip=::1
15:18:28.090 INF http m=POST p=/api/organizations s=200 d=717µs s=418 ip=::1
15:18:28.090 INF http m=POST p=/api/organizations s=200 d=514µs s=421 ip=::1
15:18:28.130 INF http m=GET p=/favicon.png s=200 d=35µs s=444 ip=::1
15:18:28.130 INF http m=POST p=/api/auth/switch-org s=200 d=196µs s=657 ip=::1
15:18:28.130 INF http m=GET p=/favicon.png s=200 d=17µs s=444 ip=::1
15:18:28.130 INF http m=POST p=/api/auth/switch-org s=200 d=261µs s=689 ip=::1
15:18:28.140 INF http m=GET p=/sw.js s=200 d=48µs s=2205 ip=::1
15:18:28.140 INF http m=GET p=/sw.js s=200 d=19µs s=2205 ip=::1
15:18:28.161 INF http m=POST p=/api/organizations/DSP1AASE000/workspaces s=200 d=17.5ms s=289 ip=::1
15:18:28.161 INF http m=POST p=/api/organizations/DSP1AAPK000/workspaces s=200 d=17.6ms s=287 ip=::1
15:18:28.169 INF http m=GET p=/api/auth/me s=200 d=127µs s=743 ip=::1
15:18:28.195 INF http m=GET p=/workbox-daba6f28.js s=200 d=67µs s=21874 ip=::1
15:18:28.195 INF http m=GET p=/workbox-daba6f28.js s=200 d=113µs s=21874 ip=::1
15:18:28.199 INF http m=GET p=/api/workspaces/DSP1ALB4002/nodes/0/children s=200 d=264µs s=13 ip=::1
15:18:28.199 INF http m=GET p=/api/auth/me s=200 d=92µs s=712 ip=::1
15:18:28.202 INF http m=POST p=/api/auth/switch-workspace s=200 d=278µs s=1024 ip=::1
15:18:28.205 INF http m=GET p=/api/workspaces/DSP1ALB4000/nodes/0/children s=200 d=94µs s=13 ip=::1
15:18:28.206 INF http m=POST p=/api/auth/switch-workspace s=200 d=223µs s=990 ip=::1
