make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
21:53:26.659 INF TEST_OAUTH=1: Using fake Google OAuth credentials
21:53:26.659 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
21:53:26.659 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
21:53:26.659 INF OAuth providers initialized providers="[google microsoft github]"
21:53:26.660 INF Starting server addr=:8080
21:53:26.892 INF http m=GET p=/api/health s=200 d=52µs s=160 ip=127.0.0.1
21:53:35.328 INF http m=POST p=/api/auth/register s=200 d=68.3ms s=458 ip=::1
21:53:35.328 INF http m=POST p=/api/auth/register s=200 d=68.3ms s=474 ip=::1
21:53:35.348 INF http m=GET p=/ s=200 d=36µs s=1143 ip=::1
21:53:35.348 INF http m=GET p=/ s=200 d=35µs s=1143 ip=::1
21:53:35.406 INF http m=GET p=/assets/index-B4lwAXut.css s=200 d=116µs s=44437 ip=::1
21:53:35.406 INF http m=GET p=/assets/index-D1WUEvcu.js s=200 d=491µs s=99514 ip=::1
21:53:35.406 INF http m=GET p=/registerSW.js s=200 d=22µs s=134 ip=::1
21:53:35.406 INF http m=GET p=/assets/index-D1WUEvcu.js s=200 d=112µs s=99514 ip=::1
21:53:35.406 INF http m=GET p=/registerSW.js s=200 d=17µs s=134 ip=::1
21:53:35.406 INF http m=GET p=/assets/vendor-OftYBWXX.js s=200 d=198µs s=351830 ip=::1
21:53:35.406 INF http m=GET p=/assets/index-B4lwAXut.css s=200 d=122µs s=44437 ip=::1
21:53:35.406 INF http m=GET p=/assets/vendor-OftYBWXX.js s=200 d=181µs s=351830 ip=::1
21:53:35.550 INF http m=GET p=/api/auth/providers s=200 d=63µs s=46 ip=::1
21:53:35.550 INF http m=GET p=/api/auth/providers s=200 d=167µs s=46 ip=::1
21:53:35.604 INF http m=GET p=/api/auth/me s=200 d=123µs s=210 ip=::1
21:53:35.605 INF http m=GET p=/api/auth/me s=200 d=47µs s=191 ip=::1
21:53:35.609 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=76µs s=7864 ip=::1
21:53:35.609 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=60µs s=7864 ip=::1
21:53:35.775 INF http m=POST p=/api/organizations s=200 d=473µs s=422 ip=::1
21:53:35.775 INF http m=POST p=/api/organizations s=200 d=601µs s=418 ip=::1
21:53:35.786 INF http m=GET p=/sw.js s=200 d=22µs s=2205 ip=::1
21:53:35.786 INF http m=GET p=/sw.js s=200 d=29µs s=2205 ip=::1
21:53:35.813 INF http m=GET p=/favicon.png s=200 d=48µs s=444 ip=::1
21:53:35.814 INF http m=GET p=/favicon.png s=200 d=14µs s=444 ip=::1
21:53:35.814 INF http m=GET p=/api/auth/me s=200 d=120µs s=444 ip=::1
21:53:35.814 INF http m=GET p=/api/auth/me s=200 d=59µs s=427 ip=::1
21:53:35.847 INF http m=POST p=/api/organizations/E16B6I2A000/workspaces s=200 d=22.1ms s=289 ip=::1
21:53:35.847 INF http m=POST p=/api/organizations/E16B6I3K000/workspaces s=200 d=22.2ms s=287 ip=::1
21:53:35.848 INF http m=GET p=/workbox-daba6f28.js s=200 d=257µs s=21874 ip=::1
21:53:35.848 INF http m=GET p=/workbox-daba6f28.js s=200 d=169µs s=21874 ip=::1
21:53:35.861 INF http m=GET p=/api/auth/me s=200 d=175µs s=721 ip=::1
21:53:35.864 INF http m=GET p=/api/workspaces/E16B6RQ6000/nodes/0/children s=200 d=178µs s=13 ip=::1
