make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
INF OAuth providers initialized providers="[google microsoft github]"
INF Starting server addr=:8080
INF http m=GET p=/api/health s=200 d=58µs s=160 ip=::1
INF http m=POST p=/api/auth/register s=200 d=66.9ms s=458 ip=::1
INF http m=POST p=/api/auth/register s=200 d=67.7ms s=474 ip=::1
INF http m=GET p=/ s=200 d=63µs s=1143 ip=::1
INF http m=GET p=/ s=200 d=30µs s=1143 ip=::1
INF http m=GET p=/assets/index-BTUTm7eZ.js s=200 d=209µs s=103976 ip=::1
INF http m=GET p=/assets/index-BTUTm7eZ.js s=200 d=143µs s=103976 ip=::1
INF http m=GET p=/assets/vendor-XI6dBZnE.js s=200 d=94µs s=28228 ip=::1
INF http m=GET p=/assets/vendor-XI6dBZnE.js s=200 d=88µs s=28228 ip=::1
INF http m=GET p=/registerSW.js s=200 d=19µs s=134 ip=::1
INF http m=GET p=/assets/index-DtDhmFFE.css s=200 d=101µs s=43351 ip=::1
INF http m=GET p=/assets/index-DtDhmFFE.css s=200 d=426µs s=43351 ip=::1
INF http m=GET p=/registerSW.js s=200 d=383µs s=134 ip=::1
INF http m=GET p=/api/auth/providers s=200 d=62µs s=46 ip=::1
INF http m=GET p=/api/auth/providers s=200 d=129µs s=46 ip=::1
INF http m=GET p=/api/auth/me s=200 d=110µs s=210 ip=::1
INF http m=GET p=/api/auth/me s=200 d=113µs s=191 ip=::1
INF http m=GET p=/assets/en-CB1z3Rpn.js s=200 d=99µs s=10163 ip=::1
INF http m=GET p=/assets/en-CB1z3Rpn.js s=200 d=51µs s=10163 ip=::1
INF http m=POST p=/api/organizations s=200 d=495µs s=422 ip=::1
INF http m=POST p=/api/organizations s=200 d=579µs s=418 ip=::1
INF http m=GET p=/favicon.png s=200 d=39µs s=444 ip=::1
INF http m=GET p=/favicon.png s=200 d=19µs s=444 ip=::1
INF http m=GET p=/api/auth/me s=200 d=98µs s=435 ip=::1
INF http m=GET p=/api/auth/me s=200 d=56µs s=452 ip=::1
INF http m=GET p=/sw.js s=200 d=66µs s=2452 ip=::1
INF http m=GET p=/sw.js s=200 d=24µs s=2452 ip=::1
INF http m=POST p=/api/organizations/ED35AFMQ002/workspaces s=200 d=16.4ms s=287 ip=::1
INF http m=POST p=/api/organizations/ED35AFMQ000/workspaces s=200 d=17.7ms s=288 ip=::1
INF http m=GET p=/api/auth/me s=200 d=74µs s=734 ip=::1
INF http m=GET p=/api/auth/me s=200 d=243µs s=750 ip=::1
INF http m=GET p=/api/workspaces/ED35ASL6000/nodes/0/children s=200 d=201µs s=13 ip=::1
INF http m=GET p=/api/workspaces/ED35ASRG000/nodes/0/children s=200 d=85µs s=13 ip=::1
INF http m=POST p=/api/auth/switch-workspace s=200 d=282µs s=1028 ip=::1
INF http m=POST p=/api/auth/switch-workspace s=200 d=246µs s=1015 ip=::1
INF http m=GET p=/api/workspaces/ED35ASRG000/nodes/0/children s=200 d=194µs s=13 ip=::1
INF http m=GET p=/api/workspaces/ED35ASL6000/nodes/0/children s=200 d=285µs s=13 ip=::1
INF http m=GET p=/w/invalid-workspace-12345/some-page s=200 d=23µs s=1143 ip=::1
INF http m=GET p=/w/ED35ASL6000/nonexistent-page-id-12345 s=200 d=23µs s=1143 ip=::1
INF http m=POST p=/api/workspaces/ED35ASRG000/nodes/0/page/create s=200 d=19.9ms s=21 ip=::1
INF http m=POST p=/api/workspaces/ED35ASL6000/nodes/0/page/create s=200 d=18.6ms s=21 ip=::1
INF http m=GET p=/workbox-daba6f28.js s=200 d=86µs s=21874 ip=::1
INF http m=GET p=/workbox-daba6f28.js s=200 d=432µs s=21874 ip=::1
INF http m=GET p=/registerSW.js s=200 d=28µs s=134 ip=::1
INF http m=GET p=/registerSW.js s=200 d=17µs s=134 ip=::1
INF http m=GET p=/api/auth/providers s=200 d=37µs s=46 ip=::1
INF http m=GET p=/api/auth/providers s=200 d=147µs s=46 ip=::1
INF http m=GET p=/api/auth/me s=200 d=98µs s=791 ip=::1
INF http m=GET p=/api/auth/me s=200 d=51µs s=775 ip=::1
ERR Handler error err="node not found" statusCode=404 code=NOT_FOUND
INF http m=GET p=/api/workspaces/ED35ASRG000/nodes/some-page s=404 d=370µs s=58 ip=::1
ERR Handler error err="node not found" statusCode=404 code=NOT_FOUND
INF http m=GET p=/api/workspaces/ED35ASL6000/nodes/nonexistent-page-id-12345 s=404 d=154µs s=58 ip=::1
