make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
00:12:54.938 INF TEST_OAUTH=1: Using fake Google OAuth credentials
00:12:54.938 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
00:12:54.938 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
00:12:54.938 INF OAuth providers initialized providers="[google microsoft github]"
00:12:54.939 INF Starting server addr=:8080
00:12:55.010 INF http m=GET p=/api/health s=200 d=46µs s=160 ip=127.0.0.1
00:13:05.938 INF http m=POST p=/api/auth/register s=200 d=69.9ms s=451 ip=::1
00:13:05.938 INF http m=POST p=/api/auth/register s=200 d=70ms s=481 ip=::1
00:13:05.968 INF http m=GET p=/ s=200 d=56µs s=1143 ip=::1
00:13:05.968 INF http m=GET p=/ s=200 d=55µs s=1143 ip=::1
00:13:06.026 INF http m=GET p=/assets/index-DgC3oDAK.js s=200 d=196µs s=104658 ip=::1
00:13:06.026 INF http m=GET p=/assets/index-DgC3oDAK.js s=200 d=142µs s=104658 ip=::1
00:13:06.027 INF http m=GET p=/assets/vendor-DVFHX1u3.js s=200 d=208µs s=351891 ip=::1
00:13:06.027 INF http m=GET p=/assets/vendor-DVFHX1u3.js s=200 d=195µs s=351891 ip=::1
00:13:06.034 INF http m=GET p=/assets/index-D_XndmIg.css s=200 d=81µs s=44987 ip=::1
00:13:06.035 INF http m=GET p=/assets/index-D_XndmIg.css s=200 d=69µs s=44987 ip=::1
00:13:06.036 INF http m=GET p=/registerSW.js s=200 d=16µs s=134 ip=::1
00:13:06.036 INF http m=GET p=/registerSW.js s=200 d=15µs s=134 ip=::1
00:13:06.285 INF http m=GET p=/api/auth/providers s=200 d=63µs s=46 ip=::1
00:13:06.285 INF http m=GET p=/api/auth/providers s=200 d=100µs s=46 ip=::1
00:13:06.389 INF http m=GET p=/api/auth/me s=200 d=128µs s=187 ip=::1
00:13:06.389 INF http m=GET p=/api/auth/me s=200 d=141µs s=214 ip=::1
00:13:06.396 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=85µs s=7864 ip=::1
00:13:06.396 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=91µs s=7864 ip=::1
00:13:06.620 INF http m=POST p=/api/organizations s=200 d=621µs s=418 ip=::1
00:13:06.620 INF http m=POST p=/api/organizations s=200 d=744µs s=422 ip=::1
00:13:06.627 INF http m=GET p=/favicon.png s=200 d=73µs s=444 ip=::1
00:13:06.633 INF http m=GET p=/favicon.png s=200 d=33µs s=444 ip=::1
00:13:06.663 INF http m=GET p=/api/auth/me s=200 d=87µs s=457 ip=::1
00:13:06.663 INF http m=GET p=/api/auth/me s=200 d=101µs s=428 ip=::1
00:13:06.681 INF http m=GET p=/sw.js s=200 d=45µs s=2205 ip=::1
00:13:06.681 INF http m=GET p=/sw.js s=200 d=77µs s=2205 ip=::1
00:13:06.701 INF http m=POST p=/api/organizations/E2O7Q4M6000/workspaces s=200 d=17ms s=287 ip=::1
00:13:06.701 INF http m=POST p=/api/organizations/E2O7Q4M6002/workspaces s=200 d=17ms s=289 ip=::1
00:13:06.754 INF http m=GET p=/api/auth/me s=200 d=120µs s=757 ip=::1
00:13:06.754 INF http m=GET p=/api/auth/me s=200 d=57µs s=726 ip=::1
00:13:06.758 INF http m=GET p=/w/invalid-workspace-12345/some-page s=200 d=26µs s=1143 ip=::1
00:13:06.761 INF http m=GET p=/api/workspaces/E2O7QH9U000/nodes/0/children s=200 d=1.21ms s=13 ip=::1
00:13:06.761 INF http m=POST p=/api/auth/switch-workspace s=200 d=2.91ms s=1038 ip=::1
00:13:06.761 INF http m=POST p=/api/auth/switch-workspace s=200 d=1.57ms s=1004 ip=::1
00:13:06.762 INF http m=GET p=/api/workspaces/E2O7QHBI000/nodes/0/children s=200 d=463µs s=13 ip=::1
00:13:06.766 INF http m=GET p=/api/workspaces/E2O7QHBI000/nodes/0/children s=200 d=283µs s=13 ip=::1
00:13:06.779 INF http m=GET p=/w/E2O7QHBI000/nonexistent-page-id-12345 s=200 d=25µs s=1143 ip=::1
00:13:06.785 ERR Handler error err="Failed to create page: failed to commit: signal: killed" statusCode=500 code=INTERNAL_ERROR
00:13:06.785 INF http m=POST p=/api/workspaces/E2O7QHBI000/nodes/0/page/create s=500 d=16.3ms s=104 ip=::1
00:13:06.785 INF http m=GET p=/workbox-daba6f28.js s=200 d=96µs s=21874 ip=::1
00:13:06.788 INF http m=GET p=/registerSW.js s=200 d=19µs s=134 ip=::1
00:13:06.790 INF http m=GET p=/registerSW.js s=200 d=16µs s=134 ip=::1
00:13:06.790 INF http m=GET p=/workbox-daba6f28.js s=200 d=95µs s=21874 ip=::1
