make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
23:50:18.935 INF TEST_OAUTH=1: Using fake Google OAuth credentials
23:50:18.935 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
23:50:18.935 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
23:50:18.936 INF OAuth providers initialized providers="[google microsoft github]"
23:50:18.936 INF Starting server addr=:8080
23:50:19.122 INF http m=GET p=/api/health s=200 d=52µs s=160 ip=127.0.0.1
23:50:28.001 INF http m=POST p=/api/auth/register s=200 d=70ms s=458 ip=::1
23:50:28.001 INF http m=POST p=/api/auth/register s=200 d=70.4ms s=466 ip=::1
23:50:28.023 INF http m=GET p=/ s=200 d=35µs s=1143 ip=::1
23:50:28.023 INF http m=GET p=/ s=200 d=20µs s=1143 ip=::1
23:50:28.095 INF http m=GET p=/assets/index-BLhwPj5S.js s=200 d=216µs s=100281 ip=::1
23:50:28.095 INF http m=GET p=/assets/index-BLhwPj5S.js s=200 d=213µs s=100281 ip=::1
23:50:28.097 INF http m=GET p=/assets/index-EQkIwo8x.css s=200 d=122µs s=44510 ip=::1
23:50:28.097 INF http m=GET p=/assets/index-EQkIwo8x.css s=200 d=106µs s=44510 ip=::1
23:50:28.098 INF http m=GET p=/assets/vendor-CpidAYFj.js s=200 d=204µs s=351830 ip=::1
23:50:28.098 INF http m=GET p=/registerSW.js s=200 d=21µs s=134 ip=::1
23:50:28.098 INF http m=GET p=/assets/vendor-CpidAYFj.js s=200 d=186µs s=351830 ip=::1
23:50:28.098 INF http m=GET p=/registerSW.js s=200 d=22µs s=134 ip=::1
23:50:28.244 INF http m=GET p=/api/auth/providers s=200 d=69µs s=46 ip=::1
23:50:28.244 INF http m=GET p=/api/auth/providers s=200 d=118µs s=46 ip=::1
23:50:28.311 INF http m=GET p=/api/auth/me s=200 d=117µs s=202 ip=::1
23:50:28.311 INF http m=GET p=/api/auth/me s=200 d=143µs s=191 ip=::1
23:50:28.316 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=91µs s=7864 ip=::1
23:50:28.316 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=57µs s=7864 ip=::1
23:50:28.528 INF http m=POST p=/api/organizations s=200 d=502µs s=422 ip=::1
23:50:28.528 INF http m=POST p=/api/organizations s=200 d=115µs s=418 ip=::1
23:50:28.561 INF http m=GET p=/sw.js s=200 d=60µs s=2205 ip=::1
23:50:28.561 INF http m=GET p=/sw.js s=200 d=29µs s=2205 ip=::1
23:50:28.567 INF http m=GET p=/favicon.png s=200 d=20µs s=444 ip=::1
23:50:28.567 INF http m=GET p=/favicon.png s=200 d=17µs s=444 ip=::1
23:50:28.568 INF http m=GET p=/api/auth/me s=200 d=114µs s=435 ip=::1
23:50:28.568 INF http m=GET p=/api/auth/me s=200 d=54µs s=444 ip=::1
23:50:28.603 INF http m=POST p=/api/organizations/E2G4P0FI000/workspaces s=200 d=19.1ms s=287 ip=::1
23:50:28.605 INF http m=POST p=/api/organizations/E2G4P0C4000/workspaces s=200 d=21.6ms s=289 ip=::1
23:50:28.612 INF http m=GET p=/api/auth/me s=200 d=546µs s=742 ip=::1
23:50:28.612 INF http m=GET p=/api/auth/me s=200 d=59µs s=735 ip=::1
23:50:28.616 INF http m=GET p=/api/workspaces/E2G4PB6O000/nodes/0/children s=200 d=187µs s=13 ip=::1
23:50:28.617 INF http m=POST p=/api/auth/switch-workspace s=200 d=402µs s=1020 ip=::1
23:50:28.618 INF http m=GET p=/api/workspaces/E2G4PBBA000/nodes/0/children s=200 d=81µs s=13 ip=::1
23:50:28.619 INF http m=POST p=/api/auth/switch-workspace s=200 d=214µs s=1016 ip=::1
23:50:28.621 INF http m=GET p=/w/invalid-workspace-12345/some-page s=200 d=23µs s=1143 ip=::1
23:50:28.621 INF http m=GET p=/api/workspaces/E2G4PB6O000/nodes/0/children s=200 d=79µs s=13 ip=::1
23:50:28.632 INF http m=GET p=/workbox-daba6f28.js s=200 d=115µs s=21874 ip=::1
23:50:28.635 ERR Handler error err="Failed to create page: signal: killed" statusCode=500 code=INTERNAL_ERROR
23:50:28.635 INF http m=POST p=/api/workspaces/E2G4PBBA000/nodes/0/page/create s=500 d=11.4ms s=86 ip=::1
23:50:28.640 INF http m=GET p=/workbox-daba6f28.js s=200 d=69µs s=21874 ip=::1
23:50:28.646 INF http m=GET p=/w/E2G4PB6O000/nonexistent-page-id-12345 s=200 d=19µs s=1143 ip=::1
23:50:28.653 INF http m=GET p=/registerSW.js s=200 d=29µs s=134 ip=::1
23:50:28.654 INF http m=POST p=/api/workspaces/E2G4PB6O000/nodes/0/page/create s=200 d=28ms s=21 ip=::1
23:50:28.663 INF http m=GET p=/registerSW.js s=200 d=66µs s=134 ip=::1
23:50:28.673 INF http m=GET p=/api/auth/providers s=200 d=29µs s=46 ip=::1
23:50:28.674 INF http m=GET p=/api/auth/me s=200 d=101µs s=783 ip=::1
23:50:28.681 INF http m=GET p=/api/auth/providers s=200 d=23µs s=46 ip=::1
23:50:28.685 INF http m=GET p=/api/auth/me s=200 d=96µs s=776 ip=::1
23:50:28.689 INF http m=GET p=/registerSW.js s=200 d=29µs s=134 ip=::1
23:50:28.690 INF http m=GET p=/registerSW.js s=200 d=20µs s=134 ip=::1
23:50:28.738 INF http m=GET p=/api/workspaces/E2G4PBBA000/nodes/0/children s=200 d=237µs s=243 ip=::1
23:50:28.738 ERR Handler error err="node not found" statusCode=404 code=NOT_FOUND
23:50:28.738 INF http m=GET p=/api/workspaces/E2G4PBBA000/nodes/some-page s=404 d=248µs s=58 ip=::1
23:50:28.746 ERR Handler error err="node not found" statusCode=404 code=NOT_FOUND
23:50:28.746 INF http m=GET p=/api/workspaces/E2G4PB6O000/nodes/nonexistent-page-id-12345 s=404 d=283µs s=58 ip=::1
23:50:28.746 INF http m=GET p=/api/workspaces/E2G4PB6O000/nodes/0/children s=200 d=130µs s=243 ip=::1
23:50:28.749 INF http m=GET p=/index.html s=301 d=15µs ip=::1
23:50:28.750 INF http m=GET p=/ s=200 d=17µs s=1143 ip=::1
23:50:28.752 INF http m=GET p=/index.html s=301 d=12µs ip=::1
23:50:28.754 INF http m=GET p=/ s=200 d=25µs s=1143 ip=::1
23:50:28.789 INF http m=GET p=/icon.svg s=200 d=35µs s=294 ip=::1
23:50:28.789 INF http m=GET p=/icon.svg s=200 d=12µs s=294 ip=::1
23:50:28.798 INF http m=GET p=/icon-512.png s=200 d=79µs s=11284 ip=::1
23:50:28.804 INF http m=GET p=/icon-512.png s=200 d=67µs s=11284 ip=::1
23:50:29.005 INF http m=GET p=/privacy s=200 d=76µs s=1143 ip=::1
23:50:29.011 INF http m=GET p=/terms s=200 d=44µs s=1143 ip=::1
23:50:29.018 INF http m=GET p=/assets/index-BLhwPj5S.js s=200 d=159µs s=100281 ip=::1
23:50:29.018 INF http m=GET p=/assets/vendor-CpidAYFj.js s=200 d=192µs s=351830 ip=::1
23:50:29.018 INF http m=GET p=/assets/index-EQkIwo8x.css s=200 d=98µs s=44510 ip=::1
23:50:29.019 INF http m=GET p=/assets/vendor-CpidAYFj.js s=200 d=183µs s=351830 ip=::1
23:50:29.019 INF http m=GET p=/assets/index-BLhwPj5S.js s=200 d=122µs s=100281 ip=::1
23:50:29.020 INF http m=GET p=/assets/index-EQkIwo8x.css s=200 d=163µs s=44510 ip=::1
23:50:29.023 INF http m=GET p=/registerSW.js s=200 d=26µs s=134 ip=::1
23:50:29.024 INF http m=GET p=/registerSW.js s=200 d=14µs s=134 ip=::1
23:50:29.066 INF http m=GET p=/api/auth/providers s=200 d=36µs s=46 ip=::1
23:50:29.068 INF http m=GET p=/api/auth/providers s=200 d=14µs s=46 ip=::1
23:50:29.072 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=70µs s=7864 ip=::1
23:50:29.072 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=52µs s=7864 ip=::1
