make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
19:51:36.107 INF TEST_OAUTH=1: Using fake Google OAuth credentials
19:51:36.107 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
19:51:36.107 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
19:51:36.108 INF OAuth providers initialized providers="[google microsoft github]"
19:51:36.108 INF Starting server addr=:8080
19:51:36.350 INF http m=GET p=/api/health s=200 d=50µs s=160 ip=127.0.0.1
19:51:48.718 INF http m=POST p=/api/auth/register s=200 d=67.8ms s=481 ip=::1
19:51:48.718 INF http m=POST p=/api/auth/register s=200 d=67.3ms s=451 ip=::1
19:51:48.755 INF http m=GET p=/ s=200 d=50µs s=1143 ip=::1
19:51:48.755 INF http m=GET p=/ s=200 d=30µs s=1143 ip=::1
19:51:48.844 INF http m=GET p=/assets/index-BAHoBg8M.js s=200 d=196µs s=96244 ip=::1
19:51:48.844 INF http m=GET p=/assets/index-BAHoBg8M.js s=200 d=145µs s=96244 ip=::1
19:51:48.844 INF http m=GET p=/assets/vendor-CJxKTJ52.js s=200 d=288µs s=351262 ip=::1
19:51:48.844 INF http m=GET p=/assets/vendor-CJxKTJ52.js s=200 d=163µs s=351262 ip=::1
19:51:48.853 INF http m=GET p=/registerSW.js s=200 d=20µs s=134 ip=::1
19:51:48.853 INF http m=GET p=/registerSW.js s=200 d=20µs s=134 ip=::1
19:51:48.853 INF http m=GET p=/assets/index-C_BMmX25.css s=200 d=72µs s=43417 ip=::1
19:51:48.853 INF http m=GET p=/assets/index-C_BMmX25.css s=200 d=122µs s=43417 ip=::1
19:51:49.133 INF http m=GET p=/api/auth/providers s=200 d=63µs s=46 ip=::1
19:51:49.133 INF http m=GET p=/api/auth/providers s=200 d=141µs s=46 ip=::1
19:51:49.230 INF http m=GET p=/api/auth/me s=200 d=93µs s=214 ip=::1
19:51:49.230 INF http m=GET p=/api/auth/me s=200 d=162µs s=187 ip=::1
19:51:49.237 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=97µs s=7864 ip=::1
19:51:49.237 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=53µs s=7864 ip=::1
19:51:49.450 INF http m=POST p=/api/organizations s=200 d=503µs s=421 ip=::1
19:51:49.450 INF http m=POST p=/api/organizations s=200 d=553µs s=417 ip=::1
19:51:49.469 INF http m=GET p=/favicon.png s=200 d=42µs s=444 ip=::1
19:51:49.474 INF http m=GET p=/favicon.png s=200 d=27µs s=444 ip=::1
19:51:49.487 INF http m=GET p=/api/auth/me s=200 d=126µs s=420 ip=::1
19:51:49.487 INF http m=GET p=/api/auth/me s=200 d=52µs s=449 ip=::1
19:51:49.516 INF http m=POST p=/api/organizations/DVQPK9FM000/workspaces s=200 d=19.6ms s=289 ip=::1
19:51:49.516 INF http m=POST p=/api/organizations/DVQPK9H0000/workspaces s=200 d=19.6ms s=287 ip=::1
19:51:49.531 INF http m=GET p=/sw.js s=200 d=47µs s=2205 ip=::1
19:51:49.531 INF http m=GET p=/sw.js s=200 d=36µs s=2205 ip=::1
19:51:49.555 INF http m=GET p=/api/auth/me s=200 d=124µs s=743 ip=::1
19:51:49.555 INF http m=GET p=/api/auth/me s=200 d=172µs s=712 ip=::1
19:51:49.571 INF http m=GET p=/api/workspaces/DVQPKII8000/nodes/0/children s=200 d=286µs s=13 ip=::1
19:51:49.571 INF http m=POST p=/api/auth/switch-workspace s=200 d=308µs s=1024 ip=::1
19:51:49.572 INF http m=GET p=/api/workspaces/DVQPKIJS000/nodes/0/children s=200 d=188µs s=13 ip=::1
19:51:49.574 INF http m=POST p=/api/auth/switch-workspace s=200 d=430µs s=990 ip=::1
19:51:49.575 INF http m=GET p=/api/workspaces/DVQPKII8000/nodes/0/children s=200 d=144µs s=13 ip=::1
19:51:49.578 INF http m=GET p=/w/invalid-workspace-12345/some-page s=200 d=17µs s=1143 ip=::1
19:51:49.580 INF http m=GET p=/api/workspaces/DVQPKIJS000/nodes/0/children s=200 d=166µs s=13 ip=::1
19:51:49.594 INF http m=GET p=/w/DVQPKII8000/nonexistent-page-id-12345 s=200 d=27µs s=1143 ip=::1
19:51:49.601 ERR Handler error err="Failed to create page: failed to commit: signal: killed" statusCode=500 code=INTERNAL_ERROR
19:51:49.601 INF http m=POST p=/api/workspaces/DVQPKII8000/nodes/0/page/create s=500 d=21.6ms s=104 ip=::1
19:51:49.621 INF http m=GET p=/api/auth/providers s=200 d=33µs s=46 ip=::1
19:51:49.622 INF http m=GET p=/api/auth/me s=200 d=118µs s=784 ip=::1
19:51:49.625 INF http m=GET p=/api/auth/providers s=200 d=20µs s=46 ip=::1
19:51:49.629 INF http m=GET p=/api/auth/me s=200 d=126µs s=753 ip=::1
19:51:49.642 INF http m=GET p=/workbox-daba6f28.js s=200 d=78µs s=21874 ip=::1
19:51:49.642 INF http m=GET p=/workbox-daba6f28.js s=200 d=109µs s=21874 ip=::1
19:51:49.669 INF http m=GET p=/api/workspaces/DVQPKII8000/nodes/0/children s=200 d=218µs s=243 ip=::1
19:51:49.674 ERR Handler error err="node not found" statusCode=404 code=NOT_FOUND
19:51:49.674 INF http m=GET p=/api/workspaces/DVQPKII8000/nodes/nonexistent-page-id-12345 s=404 d=187µs s=58 ip=::1
19:51:49.683 INF http m=GET p=/api/workspaces/DVQPKIJS000/nodes/0/children s=200 d=177µs s=13 ip=::1
19:51:49.683 ERR Handler error err="node not found" statusCode=404 code=NOT_FOUND
19:51:49.683 INF http m=GET p=/api/workspaces/DVQPKIJS000/nodes/some-page s=404 d=131µs s=58 ip=::1
