make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
17:05:07.905 INF TEST_OAUTH=1: Using fake Google OAuth credentials
17:05:07.905 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
17:05:07.905 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
17:05:07.905 INF OAuth providers initialized providers="[google microsoft github]"
17:05:07.906 INF Starting server addr=:8080
17:05:08.121 INF http m=GET p=/api/health s=200 d=56µs s=160 ip=127.0.0.1
17:05:18.459 INF http m=POST p=/api/auth/register s=200 d=68.9ms s=481 ip=::1
17:05:18.459 INF http m=POST p=/api/auth/register s=200 d=68.9ms s=451 ip=::1
17:05:18.485 INF http m=GET p=/ s=200 d=76µs s=1143 ip=::1
17:05:18.485 INF http m=GET p=/ s=200 d=44µs s=1143 ip=::1
17:05:18.543 INF http m=GET p=/assets/index-aEjcv4_z.js s=200 d=165µs s=90776 ip=::1
17:05:18.543 INF http m=GET p=/assets/index-aEjcv4_z.js s=200 d=165µs s=90776 ip=::1
17:05:18.543 INF http m=GET p=/assets/vendor-CIJglbkq.js s=200 d=171µs s=143519 ip=::1
17:05:18.543 INF http m=GET p=/assets/vendor-CIJglbkq.js s=200 d=130µs s=143519 ip=::1
17:05:18.548 INF http m=GET p=/registerSW.js s=200 d=19µs s=134 ip=::1
17:05:18.549 INF http m=GET p=/assets/index-DBTCRD7O.css s=200 d=93µs s=39807 ip=::1
17:05:18.551 INF http m=GET p=/registerSW.js s=200 d=16µs s=134 ip=::1
17:05:18.551 INF http m=GET p=/assets/index-DBTCRD7O.css s=200 d=83µs s=39807 ip=::1
17:05:18.783 INF http m=GET p=/api/auth/providers s=200 d=63µs s=46 ip=::1
17:05:18.783 INF http m=GET p=/api/auth/providers s=200 d=70µs s=46 ip=::1
17:05:18.852 INF http m=GET p=/api/auth/me s=200 d=127µs s=187 ip=::1
17:05:18.852 INF http m=GET p=/api/auth/me s=200 d=125µs s=214 ip=::1
17:05:18.913 INF http m=GET p=/assets/en-B3Lhh7GT.js s=200 d=88µs s=7830 ip=::1
