make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 355ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
INF OAuth providers initialized providers="[google microsoft github]"
INF Starting server addr=localhost:8080 baseURL=http://localhost:8080 version=v0.0.0-20260210205348-e3904f3b3686+dirty
INF http m=GET p=/api/v1/health s=200 d=69µs s=160
INF http m=POST p=/api/v1/auth/register s=200 d=76.8ms s=491
INF http m=POST p=/api/v1/auth/register s=200 d=79.4ms s=468
INF http m=GET p=/ s=200 d=67µs s=1227
INF http m=GET p=/ s=200 d=73µs s=1227
INF http m=GET p=/assets/index-B5v3Ye1F.js s=200 d=471µs s=107467
INF http m=GET p=/assets/vendor-cxaUT27-.js s=200 d=2.15ms s=87451
INF http m=GET p=/assets/vendor-cxaUT27-.js s=200 d=2.42ms s=87451
INF http m=GET p=/assets/index-B5v3Ye1F.js s=200 d=2.97ms s=107467
INF http m=GET p=/assets/index-Hymz4ZC4.css s=200 d=106µs s=44698
INF http m=GET p=/assets/editor-vendor-5UabxMD0.js s=200 d=278µs s=314625
INF http m=GET p=/assets/editor-vendor-5UabxMD0.js s=200 d=243µs s=314625
INF http m=GET p=/assets/index-Hymz4ZC4.css s=200 d=110µs s=44698
INF http m=GET p=/registerSW.js s=200 d=34µs s=134
INF http m=GET p=/registerSW.js s=200 d=28µs s=134
INF http m=GET p=/api/v1/auth/me s=200 d=171µs s=228
INF http m=GET p=/api/v1/auth/me s=200 d=280µs s=205
INF http m=GET p=/assets/en-C3TpOtlB.js s=200 d=93µs s=14704
INF http m=GET p=/assets/en-C3TpOtlB.js s=200 d=100µs s=14704
INF http m=GET p=/favicon.png s=200 d=32µs s=444
INF http m=GET p=/favicon.png s=200 d=39µs s=444
INF http m=GET p=/assets/Onboarding-mWmeZIy8.js s=200 d=46µs s=2514
INF http m=GET p=/assets/Onboarding-mWmeZIy8.js s=200 d=31µs s=2514
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=193µs s=12
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=68µs s=12
INF http m=GET p=/sw.js s=200 d=647µs s=18490
INF http m=GET p=/sw.js s=200 d=73µs s=18490
INF http m=POST p=/api/v1/organizations s=200 d=13.4ms s=651
INF http m=POST p=/api/v1/organizations s=200 d=17.3ms s=651
INF http m=GET p=/api/v1/auth/me s=200 d=109µs s=446
INF http m=GET p=/api/v1/auth/me s=200 d=64µs s=469
INF http m=GET p=/registerSW.js s=200 d=30µs s=134
INF http m=GET p=/registerSW.js s=200 d=217µs s=134
INF http m=GET p=/index.html s=301 d=22µs
INF http m=GET p=/index.html s=301 d=11µs
INF http m=GET p=/ s=200 d=17µs s=1227
INF http m=GET p=/ s=200 d=16µs s=1227
INF http m=GET p=/icon.svg s=200 d=17µs s=294
INF http m=GET p=/icon.svg s=200 d=33µs s=294
INF http m=GET p=/icon-512.png s=200 d=73µs s=11284
INF http m=GET p=/icon-512.png s=200 d=67µs s=11284
INF http m=GET p=/icon-192.png s=200 d=42µs s=2745
INF http m=GET p=/icon-192.png s=200 d=31µs s=2745
INF http m=GET p=/favicon.png s=200 d=88µs s=444
INF http m=POST p=/api/v1/organizations/KHP5A76C000/workspaces s=200 d=97.8ms s=359
INF http m=GET p=/favicon.png s=200 d=17µs s=444
INF http m=GET p=/apple-touch-icon.png s=200 d=62µs s=2597
INF http m=GET p=/apple-touch-icon.png s=200 d=160µs s=2597
INF http m=GET p=/assets/fr-Cgyc9BlC.js s=200 d=130µs s=16956
INF http m=GET p=/assets/fr-Cgyc9BlC.js s=200 d=88µs s=16956
INF http m=GET p=/assets/es-BM_5c8P_.js s=200 d=368µs s=16680
INF http m=GET p=/assets/es-BM_5c8P_.js s=200 d=850µs s=16680
INF http m=GET p=/assets/de-OKXjRURK.js s=200 d=96µs s=16708
INF http m=GET p=/assets/de-OKXjRURK.js s=200 d=72µs s=16708
INF http m=GET p=/assets/WorkspaceSettingsPanel-OEEG3RNx.css s=200 d=103µs s=5319
INF http m=GET p=/assets/WorkspaceSettingsPanel-OEEG3RNx.css s=200 d=77µs s=5319
INF http m=GET p=/assets/WorkspaceSettingsPanel-Cj4L0DBW.js s=200 d=84µs s=16953
INF http m=GET p=/assets/WorkspaceSettingsPanel-Cj4L0DBW.js s=200 d=296µs s=16953
INF http m=GET p=/assets/Terms-D7Pv_YDh.js s=200 d=38µs s=2568
INF http m=GET p=/assets/Terms-D7Pv_YDh.js s=200 d=26µs s=2568
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=55µs s=2417
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=25µs s=2417
INF http m=GET p=/assets/ServerSettingsPanel-CuNdLLgl.js s=200 d=71µs s=10745
INF http m=GET p=/assets/ServerSettingsPanel-CuNdLLgl.js s=200 d=60µs s=10745
INF http m=GET p=/assets/ProfileSettings-d713nBbG.js s=200 d=73µs s=14578
INF http m=GET p=/assets/ProfileSettings-d713nBbG.js s=200 d=748µs s=14578
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=54µs s=6652
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=59µs s=6652
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=21µs s=1034
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=91µs s=1034
INF http m=POST p=/api/v1/organizations/KHP5A76C002/workspaces s=200 d=200ms s=359
INF http m=GET p=/assets/Privacy-BD64DTD1.js s=200 d=24µs s=2346
INF http m=GET p=/assets/Privacy-BD64DTD1.js s=200 d=35µs s=2346
INF http m=GET p=/assets/OrgSettingsPanel-DAbswSRk.css s=200 d=22µs s=1913
INF http m=GET p=/assets/OrgSettingsPanel-DAbswSRk.css s=200 d=22µs s=1913
