make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
00:04:04.887 INF TEST_OAUTH=1: Using fake Google OAuth credentials
00:04:04.887 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
00:04:04.887 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
00:04:04.888 INF OAuth providers initialized providers="[google microsoft github]"
00:04:04.888 INF Starting server addr=:8080
00:04:05.008 INF http m=GET p=/api/health s=200 d=53µs s=160 ip=127.0.0.1
00:04:14.311 INF http m=POST p=/api/auth/register s=200 d=68.3ms s=449 ip=::1
00:04:14.311 INF http m=POST p=/api/auth/register s=200 d=68.2ms s=479 ip=::1
00:04:14.334 INF http m=GET p=/ s=200 d=33µs s=1143 ip=::1
00:04:14.334 INF http m=GET p=/ s=200 d=41µs s=1143 ip=::1
00:04:14.395 INF http m=GET p=/assets/index-DdGxjDu2.js s=200 d=226µs s=100281 ip=::1
00:04:14.396 INF http m=GET p=/assets/index-DdGxjDu2.js s=200 d=122µs s=100281 ip=::1
00:04:14.396 INF http m=GET p=/assets/vendor-CpidAYFj.js s=200 d=264µs s=351830 ip=::1
00:04:14.397 INF http m=GET p=/assets/vendor-CpidAYFj.js s=200 d=202µs s=351830 ip=::1
00:04:14.400 INF http m=GET p=/assets/index-ClgkmKSr.css s=200 d=81µs s=44622 ip=::1
00:04:14.401 INF http m=GET p=/assets/index-ClgkmKSr.css s=200 d=61µs s=44622 ip=::1
00:04:14.401 INF http m=GET p=/registerSW.js s=200 d=14µs s=134 ip=::1
00:04:14.402 INF http m=GET p=/registerSW.js s=200 d=18µs s=134 ip=::1
00:04:14.553 INF http m=GET p=/api/auth/providers s=200 d=75µs s=46 ip=::1
00:04:14.553 INF http m=GET p=/api/auth/providers s=200 d=108µs s=46 ip=::1
00:04:14.624 INF http m=GET p=/api/auth/me s=200 d=116µs s=212 ip=::1
00:04:14.624 INF http m=GET p=/api/auth/me s=200 d=50µs s=185 ip=::1
00:04:14.630 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=82µs s=7864 ip=::1
00:04:14.630 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=60µs s=7864 ip=::1
00:04:14.796 INF http m=POST p=/api/organizations s=200 d=1.97ms s=418 ip=::1
00:04:14.796 INF http m=POST p=/api/organizations s=200 d=1.13ms s=422 ip=::1
00:04:14.816 INF http m=GET p=/sw.js s=200 d=48µs s=2205 ip=::1
00:04:14.816 INF http m=GET p=/sw.js s=200 d=20µs s=2205 ip=::1
00:04:14.831 INF http m=GET p=/favicon.png s=200 d=158µs s=444 ip=::1
00:04:14.831 INF http m=GET p=/favicon.png s=200 d=61µs s=444 ip=::1
00:04:14.832 INF http m=GET p=/api/auth/me s=200 d=120µs s=427 ip=::1
00:04:14.833 INF http m=GET p=/api/auth/me s=200 d=51µs s=456 ip=::1
00:04:14.865 INF http m=POST p=/api/organizations/E2L2C4MC000/workspaces s=200 d=20.3ms s=287 ip=::1
00:04:14.866 INF http m=POST p=/api/organizations/E2L2C4TE000/workspaces s=200 d=22.4ms s=289 ip=::1
00:04:14.874 INF http m=GET p=/workbox-daba6f28.js s=200 d=78µs s=21874 ip=::1
00:04:14.874 INF http m=GET p=/workbox-daba6f28.js s=200 d=132µs s=21874 ip=::1
00:04:14.880 INF http m=GET p=/api/auth/me s=200 d=108µs s=725 ip=::1
00:04:14.880 INF http m=GET p=/api/auth/me s=200 d=78µs s=756 ip=::1
00:04:14.884 INF http m=GET p=/api/workspaces/E2L2CEEM000/nodes/0/children s=200 d=277µs s=13 ip=::1
00:04:14.885 INF http m=POST p=/api/auth/switch-workspace s=200 d=283µs s=1003 ip=::1
00:04:14.886 INF http m=GET p=/api/workspaces/E2L2CEB6000/nodes/0/children s=200 d=100µs s=13 ip=::1
00:04:14.887 INF http m=POST p=/api/auth/switch-workspace s=200 d=216µs s=1037 ip=::1
00:04:14.889 INF http m=GET p=/w/invalid-workspace-12345/some-page s=200 d=24µs s=1143 ip=::1
00:04:14.891 INF http m=GET p=/api/workspaces/E2L2CEB6000/nodes/0/children s=200 d=76µs s=13 ip=::1
00:04:14.905 INF http m=GET p=/w/E2L2CEB6000/nonexistent-page-id-12345 s=200 d=21µs s=1143 ip=::1
00:04:14.913 ERR Handler error err="Failed to create page: signal: killed" statusCode=500 code=INTERNAL_ERROR
00:04:14.913 INF http m=POST p=/api/workspaces/E2L2CEB6000/nodes/0/page/create s=500 d=12.3ms s=86 ip=::1
00:04:14.917 INF http m=GET p=/registerSW.js s=200 d=29µs s=134 ip=::1
00:04:14.917 INF http m=GET p=/registerSW.js s=200 d=13µs s=134 ip=::1
00:04:14.917 INF http m=GET p=/registerSW.js s=200 d=17µs s=134 ip=::1
00:04:14.923 INF http m=GET p=/registerSW.js s=200 d=18µs s=134 ip=::1
00:04:14.940 INF http m=GET p=/api/auth/providers s=200 d=19µs s=46 ip=::1
00:04:14.940 INF http m=GET p=/api/auth/providers s=200 d=40µs s=46 ip=::1
00:04:14.942 INF http m=GET p=/api/auth/me s=200 d=339µs s=766 ip=::1
00:04:14.942 INF http m=GET p=/api/auth/me s=200 d=215µs s=797 ip=::1
00:04:14.965 INF http m=GET p=/index.html s=301 d=13µs ip=::1
00:04:14.965 INF http m=GET p=/index.html s=301 d=73µs ip=::1
00:04:14.966 INF http m=GET p=/ s=200 d=21µs s=1143 ip=::1
00:04:14.967 INF http m=GET p=/ s=200 d=13µs s=1143 ip=::1
00:04:14.992 INF http m=GET p=/icon.svg s=200 d=48µs s=294 ip=::1
00:04:15.000 INF http m=GET p=/icon-512.png s=200 d=120µs s=11284 ip=::1
00:04:15.001 INF http m=GET p=/icon.svg s=200 d=20µs s=294 ip=::1
00:04:15.001 INF http m=GET p=/api/workspaces/E2L2CEB6000/nodes/0/children s=200 d=263µs s=243 ip=::1
00:04:15.002 ERR Handler error err="node not found" statusCode=404 code=NOT_FOUND
00:04:15.002 INF http m=GET p=/api/workspaces/E2L2CEB6000/nodes/nonexistent-page-id-12345 s=404 d=162µs s=58 ip=::1
00:04:15.003 ERR Handler error err="node not found" statusCode=404 code=NOT_FOUND
00:04:15.004 INF http m=GET p=/api/workspaces/E2L2CEEM000/nodes/some-page s=404 d=127µs s=58 ip=::1
00:04:15.005 INF http m=GET p=/api/workspaces/E2L2CEEM000/nodes/0/children s=200 d=105µs s=13 ip=::1
00:04:15.008 INF http m=GET p=/icon-192.png s=200 d=83µs s=2745 ip=::1
00:04:15.009 INF http m=GET p=/icon-512.png s=200 d=79µs s=11284 ip=::1
00:04:15.018 INF http m=GET p=/favicon.png s=200 d=38µs s=444 ip=::1
00:04:15.018 INF http m=GET p=/icon-192.png s=200 d=22µs s=2745 ip=::1
00:04:15.023 INF http m=GET p=/apple-touch-icon.png s=200 d=31µs s=2597 ip=::1
00:04:15.026 INF http m=GET p=/favicon.png s=200 d=28µs s=444 ip=::1
00:04:15.034 INF http m=GET p=/apple-touch-icon.png s=200 d=37µs s=2597 ip=::1
00:04:15.036 INF http m=POST p=/api/workspaces/E2L2CEEM000/nodes/0/page/create s=200 d=19.2ms s=21 ip=::1
00:04:15.041 INF http m=GET p=/api/workspaces/E2L2CEEM000/nodes/0/children s=200 d=196µs s=243 ip=::1
00:04:15.261 INF http m=GET p=/terms s=200 d=50µs s=1143 ip=::1
00:04:15.265 INF http m=GET p=/privacy s=200 d=39µs s=1143 ip=::1
00:04:15.274 INF http m=GET p=/assets/index-DdGxjDu2.js s=200 d=307µs s=100281 ip=::1
00:04:15.276 INF http m=GET p=/assets/index-ClgkmKSr.css s=200 d=105µs s=44622 ip=::1
00:04:15.279 INF http m=GET p=/assets/index-ClgkmKSr.css s=200 d=132µs s=44622 ip=::1
00:04:15.279 INF http m=GET p=/registerSW.js s=200 d=23µs s=134 ip=::1
00:04:15.279 INF http m=GET p=/assets/vendor-CpidAYFj.js s=200 d=185µs s=351830 ip=::1
00:04:15.280 INF http m=GET p=/assets/index-DdGxjDu2.js s=200 d=883µs s=100281 ip=::1
00:04:15.283 INF http m=GET p=/registerSW.js s=200 d=28µs s=134 ip=::1
00:04:15.283 INF http m=GET p=/assets/vendor-CpidAYFj.js s=200 d=211µs s=351830 ip=::1
00:04:15.323 INF http m=GET p=/api/auth/providers s=200 d=31µs s=46 ip=::1
00:04:15.323 INF http m=GET p=/api/auth/providers s=200 d=217µs s=46 ip=::1
00:04:15.326 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=139µs s=7864 ip=::1
00:04:15.326 INF http m=GET p=/assets/en-CDqwZt-a.js s=200 d=56µs s=7864 ip=::1
00:04:15.340 INF http m=GET p=/favicon.png s=200 d=57µs s=444 ip=::1
00:04:15.346 INF http m=GET p=/sw.js s=200 d=35µs s=2205 ip=::1
00:04:15.349 INF http m=GET p=/sw.js s=200 d=34µs s=2205 ip=::1
00:04:15.365 INF http m=GET p=/workbox-daba6f28.js s=200 d=378µs s=21874 ip=::1
00:04:15.366 INF http m=GET p=/workbox-daba6f28.js s=200 d=63µs s=21874 ip=::1
00:04:15.372 INF http m=GET p=/favicon.png s=200 d=24µs s=444 ip=::1
00:04:15.381 INF http m=GET p=/registerSW.js s=200 d=22µs s=134 ip=::1
00:04:15.381 INF http m=GET p=/registerSW.js s=200 d=14µs s=134 ip=::1
00:04:15.389 INF http m=GET p=/index.html s=301 d=17µs ip=::1
00:04:15.391 INF http m=GET p=/ s=200 d=22µs s=1143 ip=::1
00:04:15.392 INF http m=GET p=/index.html s=301 d=12µs ip=::1
00:04:15.394 INF http m=GET p=/ s=200 d=15µs s=1143 ip=::1
00:04:15.396 INF http m=GET p=/icon.svg s=200 d=43µs s=294 ip=::1
00:04:15.404 INF http m=GET p=/icon.svg s=200 d=24µs s=294 ip=::1
00:04:15.407 INF http m=GET p=/icon-512.png s=200 d=325µs s=11284 ip=::1
00:04:15.416 INF http m=GET p=/icon-512.png s=200 d=80µs s=11284 ip=::1
00:04:15.594 INF http m=POST p=/api/auth/register s=200 d=67.4ms s=468 ip=::1
00:04:15.594 INF http m=POST p=/api/auth/register s=200 d=69.2ms s=461 ip=::1
00:04:15.599 INF http m=GET p=/ s=200 d=60µs s=1143 ip=::1
00:04:15.599 INF http m=GET p=/ s=200 d=25µs s=1143 ip=::1
00:04:15.605 INF http m=GET p=/assets/index-DdGxjDu2.js s=200 d=154µs s=100281 ip=::1
00:04:15.609 INF http m=GET p=/assets/index-ClgkmKSr.css s=200 d=138µs s=44622 ip=::1
00:04:15.609 INF http m=GET p=/assets/index-DdGxjDu2.js s=200 d=95µs s=100281 ip=::1
00:04:15.609 INF http m=GET p=/assets/vendor-CpidAYFj.js s=200 d=193µs s=351830 ip=::1
00:04:15.609 INF http m=GET p=/registerSW.js s=200 d=32µs s=134 ip=::1
00:04:15.609 INF http m=GET p=/assets/vendor-CpidAYFj.js s=200 d=192µs s=351830 ip=::1
00:04:15.610 INF http m=GET p=/assets/index-ClgkmKSr.css s=200 d=75µs s=44622 ip=::1
00:04:15.612 INF http m=GET p=/registerSW.js s=200 d=26µs s=134 ip=::1
