make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
13:56:38.648 INF TEST_OAUTH=1: Using fake Google OAuth credentials
13:56:38.648 INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
13:56:38.648 INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
13:56:38.648 INF OAuth providers initialized providers="[google microsoft github]"
13:56:38.649 INF Starting server addr=:8080
13:56:38.897 INF http m=GET p=/api/health s=200 d=60µs s=34 ip=127.0.0.1
13:56:49.678 INF http m=POST p=/api/auth/register s=200 d=68.4ms s=458 ip=::1
13:56:49.678 INF http m=POST p=/api/auth/register s=200 d=68.6ms s=474 ip=::1
13:56:49.700 INF http m=GET p=/ s=200 d=48µs s=1143 ip=::1
13:56:49.700 INF http m=GET p=/ s=200 d=20µs s=1143 ip=::1
13:56:49.764 INF http m=GET p=/assets/index-CEhqCZAe.js s=200 d=201µs s=91619 ip=::1
13:56:49.765 INF http m=GET p=/assets/index-CEhqCZAe.js s=200 d=182µs s=91619 ip=::1
13:56:49.766 INF http m=GET p=/assets/vendor-CmUW-6fA.js s=200 d=150µs s=143484 ip=::1
13:56:49.768 INF http m=GET p=/assets/vendor-CmUW-6fA.js s=200 d=616µs s=143484 ip=::1
13:56:49.772 INF http m=GET p=/registerSW.js s=200 d=32µs s=134 ip=::1
13:56:49.772 INF http m=GET p=/assets/index-Chr1cKkK.css s=200 d=293µs s=40469 ip=::1
13:56:49.774 INF http m=GET p=/assets/index-Chr1cKkK.css s=200 d=80µs s=40469 ip=::1
13:56:49.775 INF http m=GET p=/registerSW.js s=200 d=17µs s=134 ip=::1
13:56:49.945 INF http m=GET p=/api/auth/providers s=200 d=66µs s=46 ip=::1
13:56:49.946 INF http m=GET p=/api/auth/providers s=200 d=137µs s=46 ip=::1
13:56:50.015 INF http m=GET p=/api/auth/me s=200 d=106µs s=210 ip=::1
13:56:50.015 INF http m=GET p=/api/auth/me s=200 d=42µs s=191 ip=::1
13:56:50.025 INF http m=GET p=/assets/en-ibgF2mwy.js s=200 d=75µs s=7735 ip=::1
13:56:50.026 INF http m=GET p=/assets/en-ibgF2mwy.js s=200 d=92µs s=7735 ip=::1
13:56:50.178 INF http m=POST p=/api/organizations s=200 d=594µs s=418 ip=::1
13:56:50.180 INF http m=POST p=/api/organizations s=200 d=138µs s=421 ip=::1
13:56:50.211 INF http m=GET p=/sw.js s=200 d=56µs s=2205 ip=::1
13:56:50.211 INF http m=GET p=/sw.js s=200 d=35µs s=2205 ip=::1
13:56:50.225 INF http m=GET p=/favicon.png s=200 d=34µs s=444 ip=::1
13:56:50.226 INF http m=GET p=/favicon.png s=200 d=17µs s=444 ip=::1
13:56:50.227 INF http m=POST p=/api/auth/switch-org s=200 d=188µs s=666 ip=::1
13:56:50.227 INF http m=POST p=/api/auth/switch-org s=200 d=69µs s=681 ip=::1
13:56:50.263 INF http m=POST p=/api/organizations/DRRR3RDM000/workspaces s=200 d=21.3ms s=287 ip=::1
13:56:50.268 INF http m=POST p=/api/organizations/DRRR3RQS000/workspaces s=200 d=26.9ms s=289 ip=::1
13:56:50.274 INF http m=GET p=/workbox-daba6f28.js s=200 d=74µs s=21874 ip=::1
13:56:50.274 INF http m=GET p=/workbox-daba6f28.js s=200 d=101µs s=21874 ip=::1
