make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 348ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
INF OAuth providers initialized providers="[google microsoft github]"
INF Starting server addr=localhost:8080 baseURL=http://localhost:8080 version=v0.0.0-20260210200045-ee4a52b93c75+dirty
INF http m=GET p=/api/v1/health s=200 d=61µs s=160
INF http m=POST p=/api/v1/auth/register s=200 d=76.6ms s=491
INF http m=POST p=/api/v1/auth/register s=200 d=79.8ms s=468
INF http m=GET p=/ s=200 d=54µs s=1227
INF http m=GET p=/ s=200 d=22µs s=1227
INF http m=GET p=/assets/index-D5tXwI8s.js s=200 d=431µs s=107548
INF http m=GET p=/assets/vendor-BFNoaq9W.js s=200 d=119µs s=87451
INF http m=GET p=/assets/index-D5tXwI8s.js s=200 d=786µs s=107548
INF http m=GET p=/assets/vendor-BFNoaq9W.js s=200 d=580µs s=87451
INF http m=GET p=/assets/index-Hymz4ZC4.css s=200 d=107µs s=44698
INF http m=GET p=/assets/editor-vendor-BEwVq1OK.js s=200 d=276µs s=314634
INF http m=GET p=/registerSW.js s=200 d=16µs s=134
INF http m=GET p=/assets/index-Hymz4ZC4.css s=200 d=108µs s=44698
INF http m=GET p=/assets/editor-vendor-BEwVq1OK.js s=200 d=270µs s=314634
INF http m=GET p=/registerSW.js s=200 d=30µs s=134
INF http m=GET p=/api/v1/auth/me s=200 d=120µs s=205
INF http m=GET p=/api/v1/auth/me s=200 d=403µs s=228
INF http m=GET p=/assets/en-C3TpOtlB.js s=200 d=88µs s=14704
INF http m=GET p=/assets/en-C3TpOtlB.js s=200 d=76µs s=14704
INF http m=GET p=/favicon.png s=200 d=44µs s=444
INF http m=GET p=/favicon.png s=200 d=17µs s=444
INF http m=GET p=/sw.js s=200 d=76µs s=18490
INF http m=GET p=/sw.js s=200 d=57µs s=18490
INF http m=GET p=/assets/Onboarding-WKcPsTBu.js s=200 d=75µs s=2514
INF http m=GET p=/assets/Onboarding-WKcPsTBu.js s=200 d=38µs s=2514
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=95µs s=12
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=69µs s=12
INF http m=POST p=/api/v1/organizations s=200 d=13.6ms s=651
INF http m=POST p=/api/v1/organizations s=200 d=17.6ms s=651
INF http m=GET p=/api/v1/auth/me s=200 d=132µs s=446
INF http m=GET p=/api/v1/auth/me s=200 d=52µs s=469
INF http m=GET p=/registerSW.js s=200 d=52µs s=134
INF http m=GET p=/registerSW.js s=200 d=17µs s=134
INF http m=GET p=/index.html s=301 d=19µs
INF http m=GET p=/index.html s=301 d=11µs
INF http m=GET p=/ s=200 d=18µs s=1227
INF http m=GET p=/ s=200 d=13µs s=1227
INF http m=GET p=/icon.svg s=200 d=23µs s=294
INF http m=GET p=/icon.svg s=200 d=32µs s=294
INF http m=GET p=/icon-512.png s=200 d=104µs s=11284
INF http m=GET p=/icon-512.png s=200 d=97µs s=11284
INF http m=GET p=/icon-192.png s=200 d=49µs s=2745
INF http m=GET p=/icon-192.png s=200 d=29µs s=2745
INF http m=GET p=/favicon.png s=200 d=22µs s=444
INF http m=GET p=/favicon.png s=200 d=18µs s=444
INF http m=GET p=/apple-touch-icon.png s=200 d=62µs s=2597
INF http m=GET p=/apple-touch-icon.png s=200 d=141µs s=2597
INF http m=GET p=/assets/fr-Cgyc9BlC.js s=200 d=94µs s=16956
INF http m=GET p=/assets/fr-Cgyc9BlC.js s=200 d=106µs s=16956
INF http m=GET p=/assets/es-BM_5c8P_.js s=200 d=150µs s=16680
INF http m=GET p=/assets/es-BM_5c8P_.js s=200 d=90µs s=16680
INF http m=POST p=/api/v1/organizations/KH5LR6DQ000/workspaces s=200 d=111ms s=359
INF http m=GET p=/assets/de-OKXjRURK.js s=200 d=88µs s=16708
INF http m=GET p=/assets/de-OKXjRURK.js s=200 d=61µs s=16708
INF http m=GET p=/assets/WorkspaceSettingsPanel-OEEG3RNx.css s=200 d=53µs s=5319
INF http m=GET p=/assets/WorkspaceSettingsPanel-OEEG3RNx.css s=200 d=93µs s=5319
INF http m=GET p=/assets/WorkspaceSettingsPanel-DzThZ5pC.js s=200 d=112µs s=16953
INF http m=GET p=/assets/WorkspaceSettingsPanel-DzThZ5pC.js s=200 d=75µs s=16953
INF http m=GET p=/assets/Terms-DJXNYmiE.js s=200 d=359µs s=2568
INF http m=GET p=/assets/Terms-DJXNYmiE.js s=200 d=28µs s=2568
INF http m=GET p=/assets/ServerSettingsPanel-DgJ9GjRy.js s=200 d=70µs s=10745
INF http m=GET p=/assets/ServerSettingsPanel-DgJ9GjRy.js s=200 d=223µs s=10745
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=48µs s=2417
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=25µs s=2417
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=61µs s=6652
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=58µs s=6652
INF http m=GET p=/assets/ProfileSettings-C6UtWHaO.js s=200 d=112µs s=14578
INF http m=GET p=/assets/ProfileSettings-C6UtWHaO.js s=200 d=91µs s=14578
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=50µs s=1034
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=18µs s=1034
INF http m=GET p=/assets/Privacy-CLREmNRv.js s=200 d=25µs s=2346
INF http m=GET p=/assets/Privacy-CLREmNRv.js s=200 d=63µs s=2346
INF http m=GET p=/assets/OrgSettingsPanel-f0NnvF1R.js s=200 d=57µs s=8155
INF http m=GET p=/assets/OrgSettingsPanel-f0NnvF1R.js s=200 d=134µs s=8155
INF http m=GET p=/assets/OrgSettingsPanel-DAbswSRk.css s=200 d=20µs s=1913
